payment_id,merchant_id,customer_id,payment_date,payment_time,amount,currency,payment_method,status,reference_id
PAY100023,MER015,CUST6355,2026-08-11,20:56:24,5000,INR,CARD,SUCCESS,ORD-364525
PAY100024,MER016,CUST1317,2026-08-18,08:22:14,100000,INR,UPI,SUCCESS,ORD-919182
PAY100025,MER002,CUST1508,2026-08-08,11:53:01,75000,INR,UPI,SUCCESS,ORD-350132
PAY100026,MER016,CUST2874,2026-08-19,11:29:44,5000,INR,CARD,SUCCESS,ORD-275939
PAY100027,MER010,CUST2771,2026-08-19,08:59:19,75000,INR,NETBANKING,SUCCESS,ORD-493537
PAY100028,MER007,CUST2245,2026-08-19,19:53:40,2500,INR,UPI,SUCCESS,ORD-831059
PAY100029,MER020,CUST2983,2026-08-19,20:02:22,50000,INR,CARD,SUCCESS,ORD-793655
PAY100030,MER003,CUST9289,2026-08-21,13:00:54,12000,INR,CARD,SUCCESS,ORD-210665
PAY100031,MER012,CUST8532,2026-08-05,14:11:46,50000,INR,NETBANKING,SUCCESS,ORD-383201
PAY100032,MER018,CUST8921,2026-08-15,14:52:46,75000,INR,CARD,SUCCESS,ORD-437960
PAY100033,MER003,CUST5569,2026-08-15,11:48:29,75000,INR,NETBANKING,SUCCESS,ORD-800646
PAY100034,MER011,CUST1470,2026-08-16,21:20:11,25000,INR,UPI,SUCCESS,ORD-472060
PAY100035,MER011,CUST5581,2026-08-20,19:56:17,50000,INR,UPI,SUCCESS,ORD-641722
PAY100036,MER003,CUST4954,2026-08-14,15:35:48,2500,INR,NETBANKING,SUCCESS,ORD-599219
PAY100037,MER016,CUST8342,2026-08-01,09:18:14,12000,INR,NETBANKING,SUCCESS,ORD-355123
PAY200037,MER016,CUST8342,2026-08-01,09:18:14,12000,INR,NETBANKING,SUCCESS,ORD-355123
PAY100038,MER019,CUST7046,2026-08-16,16:33:22,12000,INR,NETBANKING,SUCCESS,ORD-677124
PAY100039,MER012,CUST8434,2026-08-09,12:16:14,750,INR,NETBANKING,SUCCESS,ORD-301939
PAY100040,MER004,CUST9779,2026-08-06,11:13:47,25000,INR,CARD,SUCCESS,ORD-859782
PAY100041,MER017,CUST5636,2026-08-04,21:12:18,2500,INR,CARD,SUCCESS,ORD-288158
PAY100042,MER001,CUST9751,2026-08-05,12:02:03,50000,INR,CARD,SUCCESS,ORD-831295
PAY100043,MER016,CUST2680,2026-08-01,17:18:30,25000,INR,CARD,SUCCESS,ORD-457256
PAY100044,MER002,CUST5136,2026-08-16,09:52:04,12000,INR,CARD,SUCCESS,ORD-177680
PAY100045,MER002,CUST3485,2026-08-05,20:36:19,750,INR,UPI,SUCCESS,ORD-224205
PAY100046,MER018,CUST7818,2026-08-20,17:50:39,2500,INR,NETBANKING,SUCCESS,ORD-498855
PAY100047,MER015,CUST5871,2026-08-19,14:19:36,75000,INR,UPI,SUCCESS,ORD-739244
PAY100048,MER007,CUST4457,2026-08-09,18:05:10,2500,INR,UPI,SUCCESS,ORD-678805
PAY100049,MER001,CUST7693,2026-08-15,19:38:30,5000,INR,UPI,SUCCESS,ORD-342720
PAY100050,MER010,CUST8438,2026-08-03,18:14:59,5000,INR,NETBANKING,SUCCESS,ORD-718439
PAY100051,MER007,CUST7965,2026-08-04,16:14:41,1200,INR,CARD,SUCCESS,ORD-966785
PAY100052,MER003,CUST1977,2026-08-06,20:19:38,75000,INR,CARD,SUCCESS,ORD-560485
PAY100053,MER015,CUST5982,2026-08-13,12:32:34,25000,INR,CARD,SUCCESS,ORD-184349
PAY100054,MER014,CUST6280,2026-08-20,12:01:05,2500,INR,NETBANKING,SUCCESS,ORD-976566
PAY100055,MER019,CUST1659,2026-08-06,15:33:41,25000,INR,CARD,SUCCESS,ORD-290305
PAY100056,MER014,CUST9056,2026-08-03,15:22:26,8500,INR,CARD,SUCCESS,ORD-802685
PAY100057,MER006,CUST6403,2026-08-14,19:31:18,100000,INR,CARD,SUCCESS,ORD-953085
PAY100058,MER002,CUST8451,2026-08-03,13:16:20,750,INR,CARD,SUCCESS,ORD-639593
PAY100059,MER018,CUST8569,2026-08-14,08:12:33,8500,INR,NETBANKING,SUCCESS,ORD-893188
PAY100060,MER015,CUST1845,2026-08-07,12:35:08,5000,INR,CARD,SUCCESS,ORD-832168
PAY100061,MER004,CUST1472,2026-08-21,17:51:15,1200,INR,CARD,SUCCESS,ORD-677596
PAY100062,MER018,CUST7684,2026-08-03,11:53:58,750,INR,CARD,SUCCESS,ORD-223172
PAY100063,MER005,CUST9165,2026-08-10,16:45:17,12000,INR,CARD,SUCCESS,ORD-595158
PAY100064,MER015,CUST3369,2026-08-13,11:58:38,50000,INR,NETBANKING,SUCCESS,ORD-243139
PAY100065,MER009,CUST7798,2026-08-11,20:32:17,500,INR,CARD,SUCCESS,ORD-861319
PAY100066,MER019,CUST9022,2026-08-05,15:34:30,8500,INR,CARD,SUCCESS,ORD-678727
PAY100067,MER013,CUST8460,2026-08-11,21:12:44,2500,INR,NETBANKING,SUCCESS,ORD-501574
PAY100068,MER002,CUST6213,2026-08-16,19:58:51,12000,INR,CARD,SUCCESS,ORD-795928
PAY100069,MER005,CUST9115,2026-08-02,10:32:37,8500,INR,UPI,SUCCESS,ORD-986088
PAY100070,MER004,CUST9617,2026-08-15,08:46:09,12000,INR,NETBANKING,SUCCESS,ORD-261859
PAY100071,MER009,CUST6546,2026-08-20,19:25:41,750,INR,CARD,SUCCESS,ORD-993744
PAY100072,MER013,CUST6188,2026-08-21,19:56:48,25000,INR,NETBANKING,SUCCESS,ORD-137642
PAY100073,MER010,CUST4727,2026-08-03,14:06:48,100000,INR,NETBANKING,SUCCESS,ORD-205389
PAY100074,MER006,CUST5906,2026-08-01,08:20:50,500,INR,CARD,SUCCESS,ORD-475876
PAY100075,MER005,CUST5000,2026-08-17,14:36:43,1200,INR,UPI,SUCCESS,ORD-283573
PAY100076,MER003,CUST7267,2026-08-20,18:15:31,75000,INR,UPI,SUCCESS,ORD-343467
PAY100077,MER015,CUST5161,2026-08-15,12:42:00,25000,INR,CARD,SUCCESS,ORD-810526
PAY100078,MER006,CUST2210,2026-08-15,13:37:19,100000,INR,CARD,SUCCESS,ORD-823846
PAY100079,MER010,CUST4263,2026-08-13,21:30:06,2500,INR,CARD,SUCCESS,ORD-699704
PAY100080,MER019,CUST5847,2026-08-10,08:53:42,12000,INR,CARD,SUCCESS,ORD-108491
PAY100081,MER002,CUST9138,2026-08-10,20:51:14,75000,INR,CARD,SUCCESS,ORD-329642
PAY100082,MER007,CUST5106,2026-08-05,18:06:57,100000,INR,NETBANKING,SUCCESS,ORD-141337
PAY100083,MER015,CUST1546,2026-08-19,13:46:08,750,INR,CARD,SUCCESS,ORD-442589
PAY100084,MER006,CUST4289,2026-08-05,20:34:56,8500,INR,NETBANKING,SUCCESS,ORD-626169
PAY100085,MER006,CUST5210,2026-08-16,20:18:47,8500,INR,UPI,SUCCESS,ORD-591081
PAY100086,MER003,CUST3306,2026-08-08,21:43:46,100000,INR,CARD,SUCCESS,ORD-986827
PAY200086,MER003,CUST3306,2026-08-08,21:43:46,100000,INR,CARD,SUCCESS,ORD-986827
PAY100087,MER012,CUST2479,2026-08-13,08:16:34,750,INR,CARD,SUCCESS,ORD-486490
PAY100088,MER019,CUST7242,2026-08-21,13:06:43,2500,INR,CARD,SUCCESS,ORD-126240
PAY100089,MER018,CUST6374,2026-08-20,11:41:04,100000,INR,CARD,SUCCESS,ORD-835132
PAY200089,MER018,CUST6374,2026-08-20,11:41:04,100000,INR,CARD,SUCCESS,ORD-835132
PAY100090,MER014,CUST2911,2026-08-05,08:02:19,25000,INR,UPI,SUCCESS,ORD-201913
PAY100091,MER018,CUST3222,2026-08-13,15:23:42,50000,INR,CARD,SUCCESS,ORD-715870
PAY100092,MER014,CUST2622,2026-08-16,17:26:17,500,INR,NETBANKING,SUCCESS,ORD-488528
PAY100093,MER015,CUST8285,2026-08-08,21:23:06,100000,INR,CARD,SUCCESS,ORD-670913
PAY100094,MER012,CUST1992,2026-08-13,12:12:07,25000,INR,UPI,SUCCESS,ORD-794963
PAY100095,MER020,CUST1349,2026-08-02,20:21:15,1200,INR,NETBANKING,SUCCESS,ORD-315173
PAY100096,MER018,CUST4394,2026-08-19,11:52:55,2500,INR,CARD,SUCCESS,ORD-911984
PAY100097,MER020,CUST1046,2026-08-09,21:09:08,50000,INR,CARD,SUCCESS,ORD-937302
PAY100098,MER004,CUST1422,2026-08-05,08:22:50,2500,INR,NETBANKING,SUCCESS,ORD-439498
PAY200098,MER004,CUST1422,2026-08-05,08:22:50,2500,INR,NETBANKING,SUCCESS,ORD-439498
PAY100099,MER006,CUST5347,2026-08-02,10:47:26,50000,INR,UPI,SUCCESS,ORD-881886
PAY100100,MER003,CUST8802,2026-08-15,20:23:32,75000,INR,UPI,SUCCESS,ORD-573962
PAY100101,MER008,CUST1710,2026-08-17,12:29:41,500,INR,UPI,SUCCESS,ORD-602248
PAY100102,MER014,CUST2768,2026-08-16,19:58:28,750,INR,UPI,SUCCESS,ORD-437758
PAY100103,MER005,CUST2076,2026-08-05,12:39:40,75000,INR,NETBANKING,SUCCESS,ORD-846746
PAY100104,MER013,CUST9692,2026-08-10,15:32:38,12000,INR,UPI,SUCCESS,ORD-931621
PAY100105,MER018,CUST4522,2026-08-14,15:56:14,12000,INR,CARD,SUCCESS,ORD-967611
PAY100106,MER013,CUST7815,2026-08-04,13:27:20,100000,INR,CARD,SUCCESS,ORD-492483
PAY100107,MER003,CUST2494,2026-08-03,09:27:06,8500,INR,UPI,SUCCESS,ORD-683397
PAY100108,MER019,CUST6400,2026-08-04,14:22:55,100000,INR,CARD,SUCCESS,ORD-856086
PAY100109,MER002,CUST5712,2026-08-20,12:22:06,75000,INR,NETBANKING,SUCCESS,ORD-323072
PAY100110,MER016,CUST4674,2026-08-04,13:54:35,8500,INR,UPI,SUCCESS,ORD-899649
PAY100111,MER008,CUST8030,2026-08-18,20:52:39,75000,INR,NETBANKING,SUCCESS,ORD-773918
PAY100112,MER001,CUST5381,2026-08-01,10:17:44,5000,INR,CARD,SUCCESS,ORD-468074
PAY100113,MER001,CUST3972,2026-08-05,17:42:25,750,INR,UPI,SUCCESS,ORD-876962
PAY100114,MER001,CUST2503,2026-08-17,11:24:26,25000,INR,CARD,SUCCESS,ORD-265055
PAY100115,MER010,CUST6314,2026-08-19,17:05:56,500,INR,UPI,SUCCESS,ORD-265056
PAY100116,MER002,CUST2336,2026-08-09,15:42:27,25000,INR,NETBANKING,SUCCESS,ORD-563516
PAY100117,MER007,CUST9394,2026-08-04,13:27:07,5000,INR,NETBANKING,SUCCESS,ORD-811444
PAY200117,MER007,CUST9394,2026-08-04,13:27:07,5000,INR,NETBANKING,SUCCESS,ORD-811444
PAY100118,MER016,CUST9633,2026-08-10,08:14:25,75000,INR,UPI,SUCCESS,ORD-108060
PAY100119,MER010,CUST4460,2026-08-05,20:16:18,8500,INR,UPI,SUCCESS,ORD-108105
PAY100120,MER014,CUST3878,2026-08-05,14:34:45,2500,INR,NETBANKING,SUCCESS,ORD-685864
PAY100121,MER012,CUST2180,2026-08-13,21:47:02,12000,INR,UPI,SUCCESS,ORD-582087
PAY100122,MER011,CUST8033,2026-08-19,14:45:40,12000,INR,CARD,SUCCESS,ORD-220768
PAY100123,MER001,CUST6321,2026-08-06,20:39:29,8500,INR,UPI,SUCCESS,ORD-557925
PAY100124,MER014,CUST7560,2026-08-17,09:25:55,5000,INR,NETBANKING,SUCCESS,ORD-456005
PAY100125,MER011,CUST3754,2026-08-03,16:40:07,50000,INR,NETBANKING,SUCCESS,ORD-303322
PAY100126,MER012,CUST3419,2026-08-08,09:09:16,2500,INR,UPI,SUCCESS,ORD-731661
PAY100127,MER005,CUST2234,2026-08-06,20:40:31,25000,INR,NETBANKING,SUCCESS,ORD-896788
PAY100128,MER015,CUST6295,2026-08-21,13:09:28,750,INR,CARD,SUCCESS,ORD-563688
PAY100129,MER010,CUST5500,2026-08-19,08:22:32,750,INR,CARD,SUCCESS,ORD-584172
PAY100130,MER002,CUST1932,2026-08-12,21:18:04,100000,INR,UPI,SUCCESS,ORD-744883
PAY100131,MER019,CUST1672,2026-08-15,20:36:41,2500,INR,CARD,SUCCESS,ORD-734394
PAY100132,MER005,CUST2013,2026-08-15,09:51:57,8500,INR,NETBANKING,SUCCESS,ORD-188425
PAY100133,MER006,CUST1641,2026-08-08,19:28:28,50000,INR,NETBANKING,SUCCESS,ORD-739427
PAY100134,MER012,CUST7108,2026-08-10,14:26:49,8500,INR,NETBANKING,SUCCESS,ORD-726928
PAY100135,MER011,CUST2079,2026-08-11,09:35:43,12000,INR,CARD,SUCCESS,ORD-364236
PAY100136,MER020,CUST3463,2026-08-11,09:37:42,1200,INR,CARD,SUCCESS,ORD-425301
PAY100137,MER013,CUST3112,2026-08-20,19:05:19,50000,INR,CARD,SUCCESS,ORD-774751
PAY100138,MER005,CUST9624,2026-08-03,18:42:27,50000,INR,CARD,SUCCESS,ORD-119116
PAY100139,MER006,CUST4509,2026-08-11,20:31:12,2500,INR,UPI,SUCCESS,ORD-262471
PAY100140,MER010,CUST2657,2026-08-17,20:34:53,50000,INR,UPI,SUCCESS,ORD-794083
PAY100141,MER005,CUST7172,2026-08-05,10:11:53,75000,INR,UPI,SUCCESS,ORD-856215
PAY100142,MER002,CUST7731,2026-08-12,18:46:15,25000,INR,NETBANKING,SUCCESS,ORD-398768
PAY100143,MER008,CUST9749,2026-08-08,12:51:50,25000,INR,UPI,SUCCESS,ORD-485709
PAY100144,MER015,CUST8564,2026-08-10,20:24:32,50000,INR,CARD,SUCCESS,ORD-269930
PAY100145,MER020,CUST3267,2026-08-09,08:41:30,8500,INR,NETBANKING,SUCCESS,ORD-207573
PAY100146,MER004,CUST5670,2026-08-03,20:10:17,25000,INR,NETBANKING,SUCCESS,ORD-254506
PAY100147,MER003,CUST4637,2026-08-15,13:59:01,12000,INR,UPI,SUCCESS,ORD-515712
PAY100148,MER017,CUST7126,2026-08-08,14:05:23,2500,INR,UPI,SUCCESS,ORD-434165
PAY100149,MER011,CUST3392,2026-08-05,08:18:58,25000,INR,NETBANKING,SUCCESS,ORD-971482
PAY100150,MER016,CUST8349,2026-08-20,08:57:05,500,INR,CARD,SUCCESS,ORD-326130
PAY100151,MER020,CUST9647,2026-08-14,09:49:18,2500,INR,CARD,SUCCESS,ORD-227767
PAY100152,MER008,CUST7878,2026-08-21,20:39:29,750,INR,UPI,SUCCESS,ORD-977330
PAY100153,MER020,CUST9782,2026-08-01,18:32:36,2500,INR,NETBANKING,SUCCESS,ORD-250551
PAY200153,MER020,CUST9782,2026-08-01,18:32:36,2500,INR,NETBANKING,SUCCESS,ORD-250551
PAY100154,MER014,CUST1025,2026-08-20,13:15:36,12000,INR,UPI,SUCCESS,ORD-796643
PAY100155,MER003,CUST9576,2026-08-12,09:33:34,50000,INR,NETBANKING,SUCCESS,ORD-681070
PAY100156,MER016,CUST1713,2026-08-21,14:23:16,500,INR,CARD,SUCCESS,ORD-926823
PAY100157,MER008,CUST2698,2026-08-19,19:48:21,1200,INR,UPI,SUCCESS,ORD-469412
PAY100158,MER006,CUST8612,2026-08-16,18:11:51,1200,INR,UPI,SUCCESS,ORD-850827
PAY100159,MER002,CUST5807,2026-08-07,08:50:12,500,INR,CARD,SUCCESS,ORD-425138
PAY100160,MER018,CUST8756,2026-08-09,08:48:41,2500,INR,CARD,SUCCESS,ORD-474314
PAY100161,MER011,CUST5476,2026-08-04,20:23:27,12000,INR,NETBANKING,SUCCESS,ORD-561097
PAY100162,MER011,CUST4060,2026-08-16,19:31:23,50000,INR,CARD,SUCCESS,ORD-940064
PAY100163,MER014,CUST2293,2026-08-14,17:52:11,50000,INR,CARD,SUCCESS,ORD-436814
PAY100164,MER003,CUST6372,2026-08-10,12:28:38,12000,INR,UPI,SUCCESS,ORD-823270
PAY100165,MER012,CUST8325,2026-08-02,19:55:58,8500,INR,NETBANKING,SUCCESS,ORD-556068
PAY100166,MER002,CUST2229,2026-08-21,14:23:32,100000,INR,UPI,SUCCESS,ORD-132653
PAY100167,MER015,CUST1570,2026-08-05,09:15:49,100000,INR,CARD,SUCCESS,ORD-479742
PAY100168,MER019,CUST1530,2026-08-20,10:43:28,8500,INR,CARD,SUCCESS,ORD-565504
PAY100169,MER019,CUST3255,2026-08-17,13:25:20,100000,INR,CARD,SUCCESS,ORD-361736
PAY100170,MER004,CUST1424,2026-08-06,15:33:24,50000,INR,UPI,SUCCESS,ORD-374492
PAY100171,MER009,CUST8311,2026-08-07,17:18:44,25000,INR,UPI,SUCCESS,ORD-228594
PAY100172,MER003,CUST8406,2026-08-06,19:28:05,100000,INR,CARD,SUCCESS,ORD-800280
PAY100173,MER003,CUST9882,2026-08-10,12:54:10,100000,INR,UPI,SUCCESS,ORD-932250
PAY200173,MER003,CUST9882,2026-08-10,12:54:10,100000,INR,UPI,SUCCESS,ORD-932250
PAY100174,MER017,CUST4673,2026-08-04,11:50:08,2500,INR,CARD,SUCCESS,ORD-127560
PAY100175,MER018,CUST7044,2026-08-15,20:35:08,75000,INR,UPI,SUCCESS,ORD-168941
PAY100176,MER013,CUST8842,2026-08-17,14:49:26,75000,INR,UPI,SUCCESS,ORD-231414
PAY100177,MER003,CUST8372,2026-08-15,18:33:22,1200,INR,NETBANKING,SUCCESS,ORD-770872
PAY100178,MER006,CUST3114,2026-08-14,16:58:55,500,INR,UPI,SUCCESS,ORD-643269
PAY100179,MER010,CUST3697,2026-08-06,13:59:45,2500,INR,CARD,SUCCESS,ORD-644103
PAY100180,MER010,CUST2292,2026-08-09,11:40:35,5000,INR,UPI,SUCCESS,ORD-755383
PAY100181,MER018,CUST2530,2026-08-17,18:10:37,75000,INR,UPI,SUCCESS,ORD-279516
PAY100182,MER020,CUST6531,2026-08-19,08:52:55,500,INR,UPI,SUCCESS,ORD-147670
PAY100183,MER019,CUST5336,2026-08-21,11:49:36,12000,INR,NETBANKING,SUCCESS,ORD-770030
PAY100184,MER016,CUST9938,2026-08-10,18:19:30,2500,INR,NETBANKING,SUCCESS,ORD-525818
PAY100185,MER003,CUST1981,2026-08-06,15:26:30,25000,INR,UPI,SUCCESS,ORD-456717
PAY200185,MER003,CUST1981,2026-08-06,15:26:30,25000,INR,UPI,SUCCESS,ORD-456717
PAY100186,MER005,CUST6121,2026-08-11,19:55:22,12000,INR,UPI,SUCCESS,ORD-897615
PAY100187,MER017,CUST2739,2026-08-11,11:29:07,5000,INR,CARD,SUCCESS,ORD-359961
PAY100188,MER004,CUST1829,2026-08-10,14:55:39,12000,INR,UPI,SUCCESS,ORD-267457
PAY100189,MER011,CUST4110,2026-08-06,15:32:29,25000,INR,CARD,SUCCESS,ORD-621530
PAY100190,MER003,CUST7442,2026-08-17,15:15:13,75000,INR,CARD,SUCCESS,ORD-151021
PAY100191,MER010,CUST9108,2026-08-20,21:41:43,25000,INR,CARD,SUCCESS,ORD-662761
PAY100192,MER014,CUST3194,2026-08-09,19:23:48,12000,INR,CARD,SUCCESS,ORD-147440
PAY100193,MER002,CUST4189,2026-08-12,16:18:04,12000,INR,NETBANKING,SUCCESS,ORD-572230
PAY100194,MER020,CUST2946,2026-08-05,09:25:23,8500,INR,NETBANKING,SUCCESS,ORD-483366
PAY100195,MER020,CUST9341,2026-08-13,16:02:02,500,INR,UPI,SUCCESS,ORD-848255
PAY100196,MER016,CUST9508,2026-08-15,10:38:57,50000,INR,UPI,SUCCESS,ORD-443897
PAY100197,MER011,CUST3662,2026-08-13,17:47:53,5000,INR,NETBANKING,SUCCESS,ORD-452713
PAY100198,MER017,CUST9721,2026-08-16,19:36:19,25000,INR,UPI,SUCCESS,ORD-486251
PAY100199,MER004,CUST7824,2026-08-19,12:50:57,100000,INR,UPI,SUCCESS,ORD-725905
PAY100200,MER009,CUST4728,2026-08-02,17:30:10,50000,INR,NETBANKING,SUCCESS,ORD-856215
PAY200200,MER009,CUST4728,2026-08-02,17:30:10,50000,INR,NETBANKING,SUCCESS,ORD-856215
PAY100201,MER013,CUST3421,2026-08-08,08:36:44,750,INR,UPI,SUCCESS,ORD-119857
PAY100202,MER011,CUST7861,2026-08-05,14:44:13,12000,INR,NETBANKING,SUCCESS,ORD-912617
PAY100203,MER016,CUST2020,2026-08-05,16:13:35,8500,INR,NETBANKING,SUCCESS,ORD-601608
PAY100204,MER017,CUST7173,2026-08-11,10:29:58,50000,INR,CARD,SUCCESS,ORD-672808
PAY100205,MER009,CUST8932,2026-08-07,11:17:35,5000,INR,UPI,SUCCESS,ORD-412071
PAY100206,MER007,CUST9011,2026-08-11,15:22:35,5000,INR,CARD,SUCCESS,ORD-227794
PAY100207,MER013,CUST6654,2026-08-05,12:02:18,750,INR,CARD,SUCCESS,ORD-563864
PAY100208,MER009,CUST8849,2026-08-07,11:52:34,5000,INR,NETBANKING,SUCCESS,ORD-829988
PAY100209,MER005,CUST2789,2026-08-20,19:37:15,2500,INR,UPI,SUCCESS,ORD-802371
PAY100210,MER008,CUST4814,2026-08-02,09:26:21,25000,INR,UPI,SUCCESS,ORD-814281
PAY100211,MER001,CUST3587,2026-08-14,18:59:56,25000,INR,CARD,SUCCESS,ORD-782139
PAY100212,MER010,CUST6262,2026-08-10,18:03:58,750,INR,NETBANKING,SUCCESS,ORD-702022
PAY100213,MER008,CUST9767,2026-08-02,10:26:56,1200,INR,UPI,SUCCESS,ORD-976822
PAY100214,MER006,CUST5742,2026-08-02,08:19:36,75000,INR,UPI,SUCCESS,ORD-451317
PAY100215,MER015,CUST9901,2026-08-17,15:56:08,50000,INR,CARD,SUCCESS,ORD386090
PAY100216,MER004,CUST6417,2026-08-06,19:29:41,5000,INR,NETBANKING,SUCCESS,ORD-295243
PAY100217,MER011,CUST5833,2026-08-19,18:48:12,1200,INR,NETBANKING,SUCCESS,ORD-997734
PAY100218,MER013,CUST8007,2026-08-17,13:05:25,100000,INR,UPI,SUCCESS,ORD-293757
PAY100219,MER011,CUST5064,2026-08-01,12:24:15,25000,INR,CARD,SUCCESS,ORD-445637
PAY100220,MER019,CUST1187,2026-08-09,18:23:44,2500,INR,UPI,SUCCESS,ORD-800224
PAY100221,MER015,CUST6026,2026-08-06,14:43:32,5000,INR,NETBANKING,SUCCESS,ORD-223119
PAY100222,MER010,CUST7021,2026-08-20,11:14:08,25000,INR,UPI,SUCCESS,ORD-577079
PAY100223,MER018,CUST8714,2026-08-18,20:42:52,2500,INR,UPI,SUCCESS,ORD-813390
PAY100224,MER003,CUST9609,2026-08-15,16:45:23,750,INR,NETBANKING,SUCCESS,ORD-217659
PAY100225,MER018,CUST9281,2026-08-07,17:34:09,1200,INR,CARD,SUCCESS,ORD-995993
PAY100226,MER015,CUST2904,2026-08-07,19:37:31,750,INR,NETBANKING,SUCCESS,ORD-567122
PAY100227,MER005,CUST9409,2026-08-14,15:36:03,50000,INR,CARD,SUCCESS,ORD-805448
PAY100228,MER001,CUST7487,2026-08-09,21:00:47,2500,INR,NETBANKING,SUCCESS,ORD-176577
PAY100229,MER012,CUST2044,2026-08-18,08:59:57,750,INR,CARD,SUCCESS,ORD-133276
PAY100230,MER014,CUST3948,2026-08-05,20:41:46,100000,INR,CARD,SUCCESS,ORD-492650
PAY100231,MER013,CUST7154,2026-08-03,18:42:55,50000,INR,UPI,SUCCESS,ORD-785280
PAY100232,MER006,CUST9802,2026-08-13,16:08:46,2500,INR,UPI,SUCCESS,ORD-892911
PAY200232,MER006,CUST9802,2026-08-13,16:08:46,2500,INR,UPI,SUCCESS,ORD-892911
PAY100233,MER010,CUST8585,2026-08-18,14:34:24,2500,INR,UPI,SUCCESS,ORD-583000
PAY100234,MER005,CUST5516,2026-08-07,19:48:07,500,INR,NETBANKING,SUCCESS,ORD-539605
PAY200234,MER005,CUST5516,2026-08-07,19:48:07,500,INR,NETBANKING,SUCCESS,ORD-539605
PAY100235,MER001,CUST4943,2026-08-07,09:06:38,500,INR,CARD,SUCCESS,ORD-726822
PAY100236,MER008,CUST1724,2026-08-13,15:14:34,2500,INR,UPI,SUCCESS,ORD-246942
PAY100237,MER010,CUST4836,2026-08-19,13:36:38,100000,INR,CARD,SUCCESS,ORD-348411
PAY100238,MER005,CUST9540,2026-08-08,14:19:17,500,INR,NETBANKING,SUCCESS,ORD-720407
PAY100239,MER014,CUST9120,2026-08-02,13:41:42,12000,INR,NETBANKING,SUCCESS,ORD-434217
PAY100240,MER014,CUST3444,2026-08-10,14:11:48,50000,INR,CARD,SUCCESS,ORD-352673
PAY100241,MER010,CUST3365,2026-08-15,08:35:26,12000,INR,NETBANKING,SUCCESS,ORD-655736
PAY100242,MER005,CUST7363,2026-08-08,12:13:21,100000,INR,UPI,SUCCESS,ORD-571635
PAY100243,MER003,CUST9775,2026-08-07,08:17:24,100000,INR,NETBANKING,SUCCESS,ORD-732209
PAY100244,MER003,CUST4082,2026-08-19,19:42:35,2500,INR,CARD,SUCCESS,ORD-319036
PAY100245,MER010,CUST1251,2026-08-07,11:47:07,25000,INR,UPI,SUCCESS,ORD-829417
PAY100246,MER007,CUST7498,2026-08-08,16:20:49,5000,INR,CARD,SUCCESS,ORD-588899
