bank_transaction_id,settlement_id,bank_date,credit_amount,bank_reference,bank_status
BANK900053,SET500053,2026-08-15,14734.5,NEFT-15350023,CREDITED
BANK900054,SET500054,2026-08-22,2420.5,NEFT-46173157,CREDITED
BANK900055,SET500055,2026-08-08,24557.5,NEFT-88561612,CREDITED
BANK900056,SET500056,2026-08-05,8349.55,NEFT-24039158,CREDITED
BANK900057,SET500057,2026-08-16,98230.0,NEFT-83832717,CREDITED
BANK900058,SET500058,2026-08-05,736.73,NEFT-10154493,CREDITED
BANK900059,SET500059,2026-08-16,8399.7,NEFT-76906611,CREDITED
BANK900060,,2026-08-09,4911.5,NEFT-75056916,CREDITED
BANK900061,SET500061,2026-08-23,1178.76,NEFT-11835355,CREDITED
BANK900062,,2026-08-05,736.73,NEFT-96934122,CREDITED
BANK900063,SET500063,2026-08-12,11787.6,NEFT-42713008,CREDITED
BANK900064,SET500064,2026-08-15,49410.0,NEFT-19369750,CREDITED
BANK900065,SET500065,2026-08-13,491.15,NEFT-50071487,CREDITED
BANK900066,SET500066,2026-08-07,8349.55,NEFT-82937948,CREDITED
BANK900067,SET500067,2026-08-13,2370.5,NEFT-65133300,CREDITED
BANK900068,SET500068,2026-08-18,11787.6,NEFT-97512508,CREDITED
BANK900069,,2026-08-04,8399.7,NEFT-69096899,CREDITED
BANK900070,SET500070,2026-08-17,4150.44,NEFT-73013961,CREDITED
BANK900071,SET500071,2026-08-22,736.73,NEFT-81621574,CREDITED
BANK900072,SET500072,2026-08-26,24705.0,NEFT-41510328,CREDITED
BANK900073,SET500073,2026-08-05,98820.0,NEFT-69549527,CREDITED
BANK900074,SET500074,2026-08-03,341.15,NEFT-67805802,CREDITED
BANK900077,SET500077,2026-08-17,24557.5,NEFT-83363160,CREDITED
BANK900078,SET500078,2026-08-17,98080.0,NEFT-71315464,CREDITED
BANK900079,SET500079,2026-08-15,2455.75,NEFT-58178682,CREDITED
BANK900080,SET500080,2026-08-12,11787.6,NEFT-85957706,CREDITED
BANK900081,SET500081,2026-08-12,73672.5,NEFT-95445405,CREDITED
BANK900082,SET500082,2026-08-07,98820.0,NEFT-51464269,CREDITED
BANK900083,SET500083,2026-08-21,442.04,NEFT-65767881,CREDITED
BANK900084,SET500084,2026-08-07,8399.7,NEFT-46578001,CREDITED
BANK900086,SET500086,2026-08-10,98230.0,NEFT-84801233,CREDITED
BANK900087,,2026-08-15,736.73,NEFT-45186708,CREDITED
BANK900088,SET500088,2026-08-23,2455.75,NEFT-93154172,CREDITED
BANK900089,SET500089,2026-08-22,98230.0,NEFT-50559278,CREDITED
BANK900090,SET500090,2026-08-07,24705.0,NEFT-41514326,CREDITED
BANK900091,SET500091,2026-08-15,49115.0,NEFT-30739712,CREDITED
BANK900092,SET500092,2026-08-18,494.1,NEFT-39161443,CREDITED
BANK900093,SET500093,2026-08-10,98230.0,NEFT-96547189,CREDITED
BANK900094,SET500094,2026-08-15,24705.0,NEFT-38468360,CREDITED
BANK900095,SET500095,2026-08-04,1185.84,NEFT-19208698,CREDITED
BANK900096,SET500096,2026-08-21,2455.75,NEFT-29804386,CREDITED
BANK900097,SET500097,2026-08-11,49115.0,NEFT-33420607,CREDITED
BANK900098,SET500098,2026-08-07,2470.5,NEFT-12118101,CREDITED
BANK900100,SET500100,2026-08-17,74115.0,NEFT-77624084,CREDITED
BANK900101,SET500101,2026-08-19,494.1,NEFT-63904155,CREDITED
BANK900102,,2026-08-18,741.15,NEFT-91644298,CREDITED
BANK900103,SET500103,2026-08-07,74115.0,NEFT-53645651,CREDITED
BANK900104,,2026-08-12,11858.4,NEFT-25356396,CREDITED
BANK900105,SET500105,2026-08-16,11787.6,NEFT-70867592,CREDITED
BANK900106,SET500106,2026-08-06,98130.0,NEFT-73655158,CREDITED
BANK900107,SET500107,2026-08-05,8399.7,NEFT-18050510,CREDITED
BANK900109,SET500109,2026-08-22,74115.0,NEFT-30767532,CREDITED
BANK900110,SET500110,2026-08-06,8249.7,NEFT-87054398,CREDITED
BANK900111,SET500111,2026-08-20,74115.0,NEFT-84724345,CREDITED
BANK900113,SET500113,2026-08-07,741.15,NEFT-94982908,CREDITED
BANK900114,SET500114,2026-08-19,24557.5,NEFT-59667685,CREDITED
BANK900115,,2026-08-21,494.1,NEFT-92924837,CREDITED
BANK900116,SET500116,2026-08-11,23205.0,NEFT-46663833,CREDITED
BANK900117,SET500117,2026-08-06,4941.0,NEFT-89609131,CREDITED
BANK900118,SET500118,2026-08-12,74115.0,NEFT-37437207,CREDITED
BANK900119,SET500119,2026-08-07,8399.7,NEFT-76757928,CREDITED
BANK900120,SET500120,2026-08-07,2470.5,NEFT-99663907,CREDITED
BANK900121,SET500121,2026-08-15,11858.4,NEFT-20450542,CREDITED
BANK900122,SET500122,2026-08-21,11787.6,NEFT-64362516,CREDITED
BANK900123,SET500123,2026-08-08,8149.7,NEFT-42657384,CREDITED
BANK900124,SET500124,2026-08-19,4941.0,NEFT-39738898,CREDITED
BANK900125,SET500125,2026-08-05,49410.0,NEFT-56892354,CREDITED
BANK900127,SET500127,2026-08-08,24705.0,NEFT-87774890,CREDITED
BANK900128,SET500128,2026-08-23,736.73,NEFT-94743076,CREDITED
BANK900129,SET500129,2026-08-21,736.73,NEFT-70654852,CREDITED
BANK900130,SET500130,2026-08-14,98570.0,NEFT-72104107,CREDITED
BANK900131,SET500131,2026-08-17,2205.75,NEFT-77292380,CREDITED
BANK900132,SET500132,2026-08-17,8399.7,NEFT-77719420,CREDITED
BANK900133,SET500133,2026-08-10,49410.0,NEFT-31306555,CREDITED
BANK900134,SET500134,2026-08-12,8149.7,NEFT-94676162,CREDITED
BANK900135,SET500135,2026-08-13,11787.6,NEFT-98122539,CREDITED
BANK900136,SET500136,2026-08-13,1178.76,NEFT-98054173,CREDITED
BANK900137,SET500137,2026-08-22,49115.0,NEFT-54087376,CREDITED
BANK900138,SET500138,2026-08-05,48965.0,NEFT-51455302,CREDITED
BANK900139,,2026-08-13,2470.5,NEFT-20356922,CREDITED
BANK900140,SET500140,2026-08-24,49410.0,NEFT-92950779,CREDITED
BANK900141,SET500141,2026-08-07,74115.0,NEFT-68743530,CREDITED
BANK900142,SET500142,2026-08-14,14823.0,NEFT-70254091,CREDITED
BANK900143,SET500143,2026-08-10,24705.0,NEFT-86560394,CREDITED
BANK900144,SET500144,2026-08-12,49115.0,NEFT-36802975,CREDITED
BANK900145,SET500145,2026-08-11,8399.7,NEFT-79244185,CREDITED
BANK900146,SET500146,2026-08-05,24705.0,NEFT-68716573,CREDITED
BANK900148,SET500148,2026-08-10,2470.5,NEFT-23298711,CREDITED
BANK900149,SET500149,2026-08-07,24705.0,NEFT-28628439,CREDITED
BANK900150,SET500150,2026-08-26,491.15,NEFT-83659258,CREDITED
BANK900151,SET500151,2026-08-16,2455.75,NEFT-16408822,CREDITED
BANK900152,SET500152,2026-08-23,741.15,NEFT-77085942,CREDITED
BANK900153,SET500153,2026-08-03,2470.5,NEFT-49093864,CREDITED
BANK900154,SET500154,2026-08-22,11858.4,NEFT-99686286,CREDITED
BANK900155,SET500155,2026-08-14,49360.0,NEFT-62405812,CREDITED
BANK900156,SET500156,2026-08-26,491.15,NEFT-56278607,CREDITED
BANK900157,SET500157,2026-08-21,1035.84,NEFT-96274567,CREDITED
BANK900158,SET500158,2026-08-18,1185.84,NEFT-71428713,CREDITED
BANK900159,SET500159,2026-08-09,294.69,NEFT-63448727,CREDITED
BANK900160,SET500160,2026-08-11,2455.75,NEFT-16416148,CREDITED
BANK900161,SET500161,2026-08-06,11858.4,NEFT-61894582,CREDITED
BANK900162,SET500162,2026-08-18,49115.0,NEFT-21087928,CREDITED
BANK900163,SET500163,2026-08-16,49115.0,NEFT-23770458,CREDITED
BANK900164,SET500164,2026-08-12,11858.4,NEFT-69580374,CREDITED
BANK900165,SET500165,2026-08-04,8249.7,NEFT-95828117,CREDITED
BANK900166,SET500166,2026-08-23,98720.0,NEFT-91547054,CREDITED
BANK900167,SET500167,2026-08-07,98230.0,NEFT-61385847,CREDITED
BANK900168,SET500168,2026-08-22,8349.55,NEFT-20319387,CREDITED
BANK900171,SET500171,2026-08-09,24705.0,NEFT-28217159,CREDITED
BANK900172,SET500172,2026-08-08,98230.0,NEFT-56630633,CREDITED
BANK900173,SET500173,2026-08-12,98820.0,NEFT-58518659,CREDITED
BANK900174,SET500174,2026-08-06,2455.75,NEFT-58438711,CREDITED
BANK900175,SET500175,2026-08-17,74115.0,NEFT-51512297,CREDITED
BANK900176,SET500176,2026-08-19,74115.0,NEFT-52550733,CREDITED
BANK900177,SET500177,2026-08-17,1185.84,NEFT-88891300,CREDITED
BANK900178,SET500178,2026-08-16,494.1,NEFT-30537388,CREDITED
BANK900180,SET500180,2026-08-16,4941.0,NEFT-92467167,CREDITED
BANK900181,SET500181,2026-08-19,74115.0,NEFT-98413629,CREDITED
BANK900182,SET500182,2026-08-21,494.1,NEFT-96094462,CREDITED
BANK900183,SET500183,2026-08-23,11858.4,NEFT-14064904,CREDITED
BANK900184,SET500184,2026-08-17,2470.5,NEFT-70873663,CREDITED
BANK900185,SET500185,2026-08-08,24705.0,NEFT-91424562,CREDITED
BANK900186,SET500186,2026-08-13,11858.4,NEFT-59733063,CREDITED
BANK900187,SET500187,2026-08-13,4911.5,NEFT-28908276,CREDITED
BANK900188,SET500188,2026-08-12,10858.4,NEFT-87535841,CREDITED
BANK900189,SET500189,2026-08-08,24557.5,NEFT-13110670,CREDITED
BANK900190,SET500190,2026-08-19,73672.5,NEFT-16783418,CREDITED
BANK900191,SET500191,2026-08-22,24507.5,NEFT-24428014,CREDITED
BANK900192,SET500192,2026-08-11,11787.6,NEFT-63765155,CREDITED
BANK900193,SET500193,2026-08-14,11708.4,NEFT-93650068,CREDITED
BANK900194,SET500194,2026-08-11,8399.7,NEFT-36717096,CREDITED
BANK900195,SET500195,2026-08-15,494.1,NEFT-54699966,CREDITED
BANK900196,SET500196,2026-08-17,49410.0,NEFT-92284610,CREDITED
BANK900197,SET500197,2026-08-15,4941.0,NEFT-78090664,CREDITED
BANK900198,SET500198,2026-08-18,24705.0,NEFT-54458225,CREDITED
BANK900199,SET500199,2026-08-21,98820.0,NEFT-73698420,CREDITED
BANK900200,SET500200,2026-08-04,49410.0,NEFT-93179531,CREDITED
BANK900201,SET500201,2026-08-10,741.15,NEFT-69195194,CREDITED
BANK900202,SET500202,2026-08-07,11858.4,NEFT-92071195,CREDITED
BANK900204,SET500204,2026-08-13,48965.0,NEFT-96343485,CREDITED
BANK900205,SET500205,2026-08-09,4941.0,NEFT-48789478,CREDITED
BANK900206,SET500206,2026-08-13,4711.5,NEFT-82905845,CREDITED
BANK900207,SET500207,2026-08-07,736.73,NEFT-98043078,CREDITED
BANK900208,SET500208,2026-08-09,4941.0,NEFT-46456416,CREDITED
BANK900209,SET500209,2026-08-22,2470.5,NEFT-81275182,CREDITED
BANK900210,SET500210,2026-08-04,24705.0,NEFT-28450513,CREDITED
BANK900211,,2026-08-16,24557.5,NEFT-36770527,CREDITED
BANK900213,SET500213,2026-08-04,592.92,NEFT-76489301,CREDITED
BANK900214,SET500214,2026-08-04,74115.0,NEFT-48193218,CREDITED
BANK900215,SET500215,2026-08-19,49115.0,NEFT-35878707,CREDITED
BANK900216,,2026-08-08,4941.0,NEFT-11890348,CREDITED
BANK900217,SET500217,2026-08-21,1185.84,NEFT-95728324,CREDITED
BANK900218,SET500218,2026-08-19,34587.0,NEFT-74082804,CREDITED
BANK900219,SET500219,2026-08-03,12278.75,NEFT-88176558,CREDITED
BANK900220,SET500220,2026-08-11,2470.5,NEFT-25867870,CREDITED
BANK900221,SET500221,2026-08-08,4941.0,NEFT-95726382,CREDITED
BANK900222,SET500222,2026-08-27,24705.0,NEFT-65813853,CREDITED
BANK900223,SET500223,2026-08-20,2470.5,NEFT-89968863,CREDITED
BANK900224,,2026-08-17,741.15,NEFT-18289024,CREDITED
BANK900225,SET500225,2026-08-09,1178.76,NEFT-79839059,CREDITED
BANK900226,SET500226,2026-08-09,491.15,NEFT-70858653,CREDITED
BANK900227,SET500227,2026-08-16,49115.0,NEFT-51361818,CREDITED
BANK900228,SET500228,2026-08-11,2420.5,NEFT-66867700,CREDITED
BANK900229,SET500229,2026-08-20,736.73,NEFT-48532662,CREDITED
BANK900230,SET500230,2026-08-07,49115.0,NEFT-70201634,CREDITED
BANK900231,SET500231,2026-08-05,48410.0,NEFT-25922674,CREDITED
BANK900232,SET500232,2026-08-15,2470.5,NEFT-13051483,CREDITED
BANK900233,SET500233,2026-08-20,2470.5,NEFT-56460773,CREDITED
BANK900234,SET500234,2026-08-09,494.1,NEFT-92533595,CREDITED
BANK900235,SET500235,2026-08-09,491.15,NEFT-16533225,CREDITED
BANK900236,,2026-08-15,2470.5,NEFT-77631755,CREDITED
BANK900237,SET500237,2026-08-21,98230.0,NEFT-50502136,CREDITED
BANK900238,SET500238,2026-08-10,296.46,NEFT-33505978,CREDITED
BANK900239,SET500239,2026-08-04,11858.4,NEFT-65878146,CREDITED
BANK900240,SET500240,2026-08-12,49115.0,NEFT-40245233,CREDITED
BANK900242,SET500242,2026-08-10,98820.0,NEFT-59805178,CREDITED
BANK900243,SET500243,2026-08-09,98820.0,NEFT-15307982,CREDITED
BANK900244,SET500244,2026-08-21,2455.75,NEFT-54689713,CREDITED
BANK900245,SET500245,2026-08-09,24705.0,NEFT-91121400,CREDITED
BANK900246,SET500246,2026-08-10,4911.5,NEFT-81625307,CREDITED
BANK900247,SET500247,2026-08-11,24557.5,NEFT-73013937,CREDITED
BANK900248,SET500248,2026-08-14,73615.0,NEFT-12176998,CREDITED
BANK900249,SET500249,2026-08-12,2455.75,NEFT-42981324,CREDITED
BANK900250,SET500250,2026-08-11,98820.0,NEFT-71851421,CREDITED
BANK900251,SET500251,2026-08-08,24705.0,NEFT-96142207,CREDITED
BANK900252,SET500252,2026-08-04,98820.0,NEFT-10856822,CREDITED
BANK900253,SET500253,2026-08-23,-1314.16,NEFT-71204580,CREDITED
BANK900254,SET500254,2026-08-22,73672.5,NEFT-75478707,CREDITED
BANK900255,SET500255,2026-08-20,247.05,NEFT-81905550,CREDITED
BANK900256,SET500256,2026-08-19,11858.4,NEFT-22927031,CREDITED
BANK900257,SET500257,2026-08-10,4911.5,NEFT-63270536,CREDITED
BANK900258,SET500258,2026-08-15,859.51,NEFT-97742922,CREDITED
BANK900259,SET500259,2026-08-15,24705.0,NEFT-11268380,CREDITED
BANK900260,SET500260,2026-08-18,8399.7,NEFT-22799248,CREDITED
BANK900261,SET500261,2026-08-10,73672.5,NEFT-16249441,CREDITED
BANK900263,SET500263,2026-08-15,74115.0,NEFT-62231715,CREDITED
BANK900264,SET500264,2026-08-15,741.15,NEFT-56420476,CREDITED
BANK900265,SET500265,2026-08-16,8399.7,NEFT-92391596,CREDITED
BANK900267,SET500267,2026-08-21,98230.0,NEFT-43077929,CREDITED
BANK900268,,2026-08-11,98820.0,NEFT-62294176,CREDITED
BANK900270,SET500270,2026-08-07,24705.0,NEFT-78778646,CREDITED
BANK900271,SET500271,2026-08-03,741.15,NEFT-53544301,CREDITED
BANK900272,SET500272,2026-08-12,641.15,NEFT-86767229,CREDITED
BANK900273,SET500273,2026-08-15,4911.5,NEFT-29587040,CREDITED
BANK900274,,2026-08-16,24705.0,NEFT-43782566,CREDITED
BANK900275,SET500275,2026-08-22,741.15,NEFT-10908300,CREDITED
BANK900276,SET500276,2026-08-22,8349.55,NEFT-67796330,CREDITED
BANK900277,SET500277,2026-08-12,2455.75,NEFT-33842070,CREDITED
BANK900278,SET500278,2026-08-12,24705.0,NEFT-42537638,CREDITED
BANK900279,SET500279,2026-08-11,8299.7,NEFT-89487366,CREDITED
BANK900280,,2026-08-20,2455.75,NEFT-49101812,CREDITED
BANK900281,SET500281,2026-08-18,2455.75,NEFT-30688754,CREDITED
BANK900282,SET500282,2026-08-05,73672.5,NEFT-77996397,CREDITED
BANK900283,SET500283,2026-08-04,49360.0,NEFT-24679315,CREDITED
BANK900284,,2026-08-08,74115.0,NEFT-96804457,CREDITED
BANK900285,SET500285,2026-08-16,4841.0,NEFT-69831384,CREDITED
BANK900286,SET500286,2026-08-17,49360.0,NEFT-74796438,CREDITED
BANK900287,,2026-08-16,1178.76,NEFT-56045630,CREDITED
BANK900288,SET500288,2026-08-19,736.73,NEFT-70726434,CREDITED
BANK900289,SET500289,2026-08-12,741.15,NEFT-56047142,CREDITED
BANK900290,SET500290,2026-08-10,1178.76,NEFT-67226329,CREDITED
BANK900291,SET500291,2026-08-15,98820.0,NEFT-63094168,CREDITED
BANK900292,SET500292,2026-08-17,494.1,NEFT-37619925,CREDITED
BANK900293,SET500293,2026-08-21,49410.0,NEFT-53752954,CREDITED
BANK900294,SET500294,2026-08-06,24705.0,NEFT-52064387,CREDITED
BANK900295,SET500295,2026-08-22,8349.55,NEFT-71453007,CREDITED
BANK900296,SET500296,2026-08-12,98820.0,NEFT-25819123,CREDITED
BANK900297,SET500297,2026-08-06,1185.84,NEFT-66135102,CREDITED
BANK900298,,2026-08-21,24705.0,NEFT-96605343,CREDITED
BANK900299,SET500299,2026-08-18,8349.55,NEFT-17195581,CREDITED
BANK900300,SET500300,2026-08-18,11858.4,NEFT-97653539,CREDITED
BANK900301,SET500301,2026-08-18,24557.5,NEFT-21095863,CREDITED
BANK900302,SET500302,2026-08-10,2470.5,NEFT-32576626,CREDITED
BANK900303,,2026-08-20,736.73,NEFT-82894477,CREDITED
BANK900304,SET500304,2026-08-04,49360.0,NEFT-97734330,CREDITED
BANK900305,SET500305,2026-08-04,736.73,NEFT-41802361,CREDITED
BANK900306,SET500306,2026-08-22,74115.0,NEFT-37732020,CREDITED
BANK900307,SET500307,2026-08-21,74115.0,NEFT-53440052,CREDITED
BANK900308,SET500308,2026-08-21,98570.0,NEFT-17957216,CREDITED
BANK900309,SET500309,2026-08-07,8399.7,NEFT-62707402,CREDITED
BANK900310,SET500310,2026-08-21,11787.6,NEFT-20135622,CREDITED
BANK900311,SET500311,2026-08-19,8349.55,NEFT-53928023,CREDITED
BANK900312,SET500312,2026-08-05,98820.0,NEFT-18500100,CREDITED
BANK900313,SET500313,2026-08-09,24557.5,NEFT-48063218,CREDITED
BANK900314,,2026-08-21,24557.5,NEFT-16497381,CREDITED
BANK900315,SET500315,2026-08-27,494.1,NEFT-69228397,CREDITED
BANK900317,SET500317,2026-08-05,636.73,NEFT-16950770,CREDITED
BANK900318,SET500318,2026-08-10,741.15,NEFT-73995913,CREDITED
BANK900319,SET500319,2026-08-21,24705.0,NEFT-56113741,CREDITED
BANK900320,SET500320,2026-08-07,11858.4,NEFT-23747542,CREDITED
BANK900321,SET500321,2026-08-14,1185.84,NEFT-29173414,CREDITED
BANK900322,SET500322,2026-08-21,1178.76,NEFT-38595818,CREDITED
BANK900323,SET500323,2026-08-22,2470.5,NEFT-28792245,CREDITED
BANK900324,SET500324,2026-08-14,1185.84,NEFT-96519508,CREDITED
BANK900325,SET500325,2026-08-23,73672.5,NEFT-98369672,CREDITED
BANK900326,SET500326,2026-08-19,11787.6,NEFT-17324144,CREDITED
BANK900327,SET500327,2026-08-15,98820.0,NEFT-80905413,CREDITED
BANK900328,SET500328,2026-08-13,73672.5,NEFT-83330690,CREDITED
BANK900329,SET500329,2026-08-05,391.15,NEFT-18115992,CREDITED
BANK900330,SET500330,2026-08-29,11787.6,NEFT-21063273,CREDITED
BANK900331,SET500331,2026-08-22,4841.0,NEFT-30854365,CREDITED
BANK900333,SET500333,2026-08-16,247.05,NEFT-25567455,CREDITED
BANK900334,SET500334,2026-08-12,1185.84,NEFT-28416255,CREDITED
BANK900335,SET500335,2026-08-18,4941.0,NEFT-27036337,CREDITED
BANK900336,SET500336,2026-08-03,4941.0,NEFT-45292504,CREDITED
BANK900337,SET500337,2026-08-18,491.15,NEFT-32398441,CREDITED
BANK900338,SET500338,2026-08-11,74115.0,NEFT-25479814,CREDITED
BANK900339,SET500339,2026-08-03,494.1,NEFT-73319171,CREDITED
BANK900341,SET500341,2026-08-13,8349.55,NEFT-20453825,CREDITED
BANK900342,SET500342,2026-08-06,494.1,NEFT-79226031,CREDITED
BANK900343,SET500343,2026-08-05,4911.5,NEFT-84234670,CREDITED
BANK900344,SET500344,2026-08-14,4841.0,NEFT-72267186,CREDITED
BANK900345,SET500345,2026-08-09,970.5,NEFT-13209180,CREDITED
BANK900346,SET500346,2026-08-20,491.15,NEFT-51273379,CREDITED
BANK900347,SET500347,2026-08-19,494.1,NEFT-47557512,CREDITED
BANK900348,SET500348,2026-08-10,8349.55,NEFT-21395409,CREDITED
BANK900349,SET500349,2026-08-19,11858.4,NEFT-86211608,CREDITED
BANK900350,SET500350,2026-08-07,8349.55,NEFT-53788744,CREDITED
BANK900351,SET500351,2026-08-11,1185.84,NEFT-30858851,CREDITED
BANK900352,SET500352,2026-08-17,741.15,NEFT-37868462,CREDITED
BANK900353,SET500353,2026-08-17,741.15,NEFT-50831043,CREDITED
BANK900354,SET500354,2026-08-09,1185.84,NEFT-43315361,CREDITED
BANK900356,SET500356,2026-08-20,736.73,NEFT-28762704,CREDITED
BANK900357,SET500357,2026-08-04,1185.84,NEFT-63765180,CREDITED
BANK900358,SET500358,2026-08-21,741.15,NEFT-36541600,CREDITED
BANK900359,SET500359,2026-08-05,8399.7,NEFT-71873691,CREDITED
BANK900360,SET500360,2026-08-21,11787.6,NEFT-61369075,CREDITED
BANK900361,SET500361,2026-08-14,4911.5,NEFT-29948970,CREDITED
BANK900362,SET500362,2026-08-23,49115.0,NEFT-21773787,CREDITED
BANK900363,SET500363,2026-08-10,49410.0,NEFT-61338023,CREDITED
BANK900364,SET500364,2026-08-20,74115.0,NEFT-62127652,CREDITED
BANK900365,SET500365,2026-08-03,491.15,NEFT-73308406,CREDITED
BANK900366,SET500366,2026-08-21,1235.25,NEFT-81630600,CREDITED
BANK900367,SET500367,2026-08-21,8399.7,NEFT-41749355,CREDITED
BANK900368,SET500368,2026-08-14,8399.7,NEFT-29072646,CREDITED
BANK900369,SET500369,2026-08-18,24655.0,NEFT-41222178,CREDITED
BANK900370,SET500370,2026-08-03,8399.7,NEFT-27514010,CREDITED
BANK900371,SET500371,2026-08-13,74115.0,NEFT-24887509,CREDITED
BANK900372,SET500372,2026-08-05,11708.4,NEFT-50502233,CREDITED
BANK900373,,2026-08-08,98230.0,NEFT-52585056,CREDITED
BANK900375,,2026-08-08,73672.5,NEFT-86166246,CREDITED
BANK900376,SET500376,2026-08-22,74115.0,NEFT-85906869,CREDITED
BANK900377,SET500377,2026-08-07,2455.75,NEFT-32533467,CREDITED
BANK900378,SET500378,2026-08-17,2470.5,NEFT-57040785,CREDITED
BANK900379,SET500379,2026-08-03,11858.4,NEFT-76180344,CREDITED
BANK900380,SET500380,2026-08-20,24705.0,NEFT-40277201,CREDITED
BANK900381,SET500381,2026-08-05,4941.0,NEFT-45047967,CREDITED
BANK900382,SET500382,2026-08-13,-1314.16,NEFT-22496299,CREDITED
BANK900383,SET500383,2026-08-03,73672.5,NEFT-17188130,CREDITED
BANK900384,SET500384,2026-08-09,49410.0,NEFT-82494408,CREDITED
BANK900385,SET500385,2026-08-12,11858.4,NEFT-75893962,CREDITED
BANK900386,,2026-08-14,4941.0,NEFT-90559564,CREDITED
BANK900387,SET500387,2026-08-12,98230.0,NEFT-25503345,CREDITED
BANK900388,SET500388,2026-08-18,4941.0,NEFT-83031359,CREDITED
BANK900389,,2026-08-14,24705.0,NEFT-69020960,CREDITED
BANK900390,SET500390,2026-08-10,294.1,NEFT-99586100,CREDITED
BANK900391,SET500391,2026-08-20,2470.5,NEFT-61956500,CREDITED
BANK900392,SET500392,2026-08-26,24705.0,NEFT-50111251,CREDITED
BANK900393,SET500393,2026-08-04,49410.0,NEFT-93251648,CREDITED
BANK900395,SET500395,2026-08-16,1185.84,NEFT-52916049,CREDITED
BANK900396,SET500396,2026-08-15,4174.77,NEFT-11659440,CREDITED
BANK900397,SET500397,2026-08-16,1185.84,NEFT-88205594,CREDITED
