payment_id,scenario,expected_status,expected_reason,status,reason,confidence,state,payment_evidence,settlement_evidence,bank_evidence,match_method,settlement_id,bank_transaction_id,expected_net_amount,recorded_settlement_amount,bank_credit_amount,human_review_required,human_review_reason,expected_core_status,predicted_core_status,core_correct,expected_diagnosis,predicted_diagnosis,diagnosis_correct
PAY100011,MISSING_BANK_CREDIT,EXCEPTION,Settlement exists but no bank credit exists.,EXCEPTION,Settlement exists but bank credit was not found.,0.95,FINAL,AVAILABLE,FOUND,NOT_FOUND,PAYMENT_ID,SET500011,,49115.0,49115.0,,False,,EXCEPTION,EXCEPTION,True,MISSING_BANK_CREDIT,MISSING_BANK_CREDIT,True
PAY100012,DUPLICATE,EXCEPTION,Duplicate payment record.,EXCEPTION,Duplicate payment record detected.,0.99,FINAL,AVAILABLE,UNKNOWN,UNKNOWN,DUPLICATE_DETECTION,,,,,,False,,EXCEPTION,EXCEPTION,True,DUPLICATE,DUPLICATE,True
PAY100013,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.,MATCHED,"Payment, settlement, and bank records reconcile within configured rules.",0.99,FINAL,AVAILABLE,FOUND,FOUND,PAYMENT_ID,SET500013,BANK900013,49115.0,49115.0,49115.0,False,,MATCH,MATCH,True,MATCH,MATCH,True
PAY100014,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.,MATCHED,"Payment, settlement, and bank records reconcile within configured rules.",0.99,FINAL,AVAILABLE,FOUND,FOUND,PAYMENT_ID,SET500014,BANK900014,2470.5,2470.5,2470.5,False,,MATCH,MATCH,True,MATCH,MATCH,True
PAY100015,AMOUNT_MISMATCH,EXCEPTION,Settlement amount differs from expected net without a valid adjustment.,EXCEPTION,"Settlement amount mismatch. Expected ₹4941.00, recorded ₹3941.00.",0.9,FINAL,AVAILABLE,FOUND,FOUND,PAYMENT_ID,SET500015,BANK900015,4941.0,3941.0,3941.0,False,,EXCEPTION,EXCEPTION,True,AMOUNT_MISMATCH,AMOUNT_MISMATCH,True
PAY100016,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.,MATCHED,"Payment, settlement, and bank records reconcile within configured rules.",0.99,FINAL,AVAILABLE,FOUND,FOUND,PAYMENT_ID,SET500016,BANK900016,1185.84,1185.84,1185.84,False,,MATCH,MATCH,True,MATCH,MATCH,True
PAY100017,MISSING_SETTLEMENT,EXCEPTION,No settlement record exists for successful payment.,EXCEPTION,No corresponding settlement record was found for the payment.,0.98,FINAL,AVAILABLE,NOT_FOUND,UNKNOWN,NO_SETTLEMENT,,,,,,False,,EXCEPTION,EXCEPTION,True,MISSING_SETTLEMENT,MISSING_SETTLEMENT,True
PAY100018,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.,MATCHED,"Payment, settlement, and bank records reconcile within configured rules.",0.99,FINAL,AVAILABLE,FOUND,FOUND,PAYMENT_ID,SET500018,BANK900018,8349.55,8349.55,8349.55,False,,MATCH,MATCH,True,MATCH,MATCH,True
PAY100019,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.,MATCHED,"Payment, settlement, and bank records reconcile within configured rules.",0.99,FINAL,AVAILABLE,FOUND,FOUND,PAYMENT_ID,SET500019,BANK900019,2455.75,2455.75,2455.75,False,,MATCH,MATCH,True,MATCH,MATCH,True
PAY100020,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.,MATCHED,"Payment, settlement, and bank records reconcile within configured rules.",0.99,FINAL,AVAILABLE,FOUND,FOUND,PAYMENT_ID,SET500020,BANK900020,98230.0,98230.0,98230.0,False,,MATCH,MATCH,True,MATCH,MATCH,True
PAY100021,PARTIAL_SETTLEMENT,EXCEPTION,Settlement amount is materially lower than expected net amount.,EXCEPTION,"Partial settlement detected. Expected ₹11858.40, received ₹7115.04.",0.98,FINAL,AVAILABLE,FOUND,FOUND,PAYMENT_ID,SET500021,BANK900021,11858.4,7115.04,7115.04,False,,EXCEPTION,EXCEPTION,True,PARTIAL_SETTLEMENT,PARTIAL_SETTLEMENT,True
PAY100022,FEE_TAX_DIFFERENCE,EXCEPTION,Settlement is lower than expected net after configured fee and tax.,EXCEPTION,"Settlement amount mismatch. Expected ₹491.15, recorded ₹341.15.",0.9,FINAL,AVAILABLE,FOUND,FOUND,PAYMENT_ID,SET500022,BANK900022,491.15,341.15,341.15,False,,EXCEPTION,EXCEPTION,True,FEE_TAX_DIFFERENCE,FEE_TAX_DIFFERENCE,True
PAY100023,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.,MATCHED,"Payment, settlement, and bank records reconcile within configured rules.",0.99,FINAL,AVAILABLE,FOUND,FOUND,PAYMENT_ID,SET500023,BANK900023,4911.5,4911.5,4911.5,False,,MATCH,MATCH,True,MATCH,MATCH,True
PAY100024,MISSING_BANK_CREDIT,EXCEPTION,Settlement exists but no bank credit exists.,EXCEPTION,Settlement exists but bank credit was not found.,0.95,FINAL,AVAILABLE,FOUND,NOT_FOUND,PAYMENT_ID,SET500024,,98820.0,98820.0,,False,,EXCEPTION,EXCEPTION,True,MISSING_BANK_CREDIT,MISSING_BANK_CREDIT,True
PAY100025,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.,MATCHED,"Payment, settlement, and bank records reconcile within configured rules.",0.99,FINAL,AVAILABLE,FOUND,FOUND,PAYMENT_ID,SET500025,BANK900025,74115.0,74115.0,74115.0,False,,MATCH,MATCH,True,MATCH,MATCH,True
PAY100026,SETTLEMENT_DELAY,EXCEPTION,Settlement occurred outside the configured settlement window.,EXCEPTION,Settlement occurred outside the configured settlement window.,0.97,FINAL,AVAILABLE,FOUND,FOUND,PAYMENT_ID,SET500026,BANK900026,4911.5,4911.5,4911.5,False,,EXCEPTION,EXCEPTION,True,SETTLEMENT_DELAY,SETTLEMENT_DELAY,True
PAY100027,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.,MATCHED,"Payment, settlement, and bank records reconcile within configured rules.",0.99,FINAL,AVAILABLE,FOUND,FOUND,PAYMENT_ID,SET500027,BANK900027,74115.0,74115.0,74115.0,False,,MATCH,MATCH,True,MATCH,MATCH,True
PAY100028,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.,MATCHED,"Payment, settlement, and bank records reconcile within configured rules.",0.99,FINAL,AVAILABLE,FOUND,FOUND,PAYMENT_ID,SET500028,BANK900028,2470.5,2470.5,2470.5,False,,MATCH,MATCH,True,MATCH,MATCH,True
PAY100029,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.,MATCHED,"Payment, settlement, and bank records reconcile within configured rules.",0.99,FINAL,AVAILABLE,FOUND,FOUND,PAYMENT_ID,SET500029,BANK900029,49115.0,49115.0,49115.0,False,,MATCH,MATCH,True,MATCH,MATCH,True
PAY100030,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.,MATCHED,"Payment, settlement, and bank records reconcile within configured rules.",0.99,FINAL,AVAILABLE,FOUND,FOUND,PAYMENT_ID,SET500030,BANK900030,11787.6,11787.6,11787.6,False,,MATCH,MATCH,True,MATCH,MATCH,True
PAY100031,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.,MATCHED,"Payment, settlement, and bank records reconcile within configured rules.",0.99,FINAL,AVAILABLE,FOUND,FOUND,PAYMENT_ID,SET500031,BANK900031,49410.0,49410.0,49410.0,False,,MATCH,MATCH,True,MATCH,MATCH,True
PAY100032,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.,MATCHED,"Payment, settlement, and bank records reconcile within configured rules.",0.99,FINAL,AVAILABLE,FOUND,FOUND,PAYMENT_ID,SET500032,BANK900032,73672.5,73672.5,73672.5,False,,MATCH,MATCH,True,MATCH,MATCH,True
PAY100033,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.,MATCHED,"Payment, settlement, and bank records reconcile within configured rules.",0.99,FINAL,AVAILABLE,FOUND,FOUND,PAYMENT_ID,SET500033,BANK900033,74115.0,74115.0,74115.0,False,,MATCH,MATCH,True,MATCH,MATCH,True
PAY100034,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.,MATCHED,"Payment, settlement, and bank records reconcile within configured rules.",0.99,FINAL,AVAILABLE,FOUND,FOUND,PAYMENT_ID,SET500034,BANK900034,24705.0,24705.0,24705.0,False,,MATCH,MATCH,True,MATCH,MATCH,True
PAY100035,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.,MATCHED,"Payment, settlement, and bank records reconcile within configured rules.",0.99,FINAL,AVAILABLE,FOUND,FOUND,PAYMENT_ID,SET500035,BANK900035,49410.0,49410.0,49410.0,False,,MATCH,MATCH,True,MATCH,MATCH,True
PAY100036,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.,MATCHED,"Payment, settlement, and bank records reconcile within configured rules.",0.99,FINAL,AVAILABLE,FOUND,FOUND,PAYMENT_ID,SET500036,BANK900036,2470.5,2470.5,2470.5,False,,MATCH,MATCH,True,MATCH,MATCH,True
PAY100037,DUPLICATE,EXCEPTION,Duplicate payment record.,EXCEPTION,Duplicate payment record detected.,0.99,FINAL,AVAILABLE,UNKNOWN,UNKNOWN,DUPLICATE_DETECTION,,,,,,False,,EXCEPTION,EXCEPTION,True,DUPLICATE,DUPLICATE,True
PAY100038,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.,MATCHED,"Payment, settlement, and bank records reconcile within configured rules.",0.99,FINAL,AVAILABLE,FOUND,FOUND,PAYMENT_ID,SET500038,BANK900038,11858.4,11858.4,11858.4,False,,MATCH,MATCH,True,MATCH,MATCH,True
PAY100039,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.,MATCHED,"Payment, settlement, and bank records reconcile within configured rules.",0.99,FINAL,AVAILABLE,FOUND,FOUND,PAYMENT_ID,SET500039,BANK900039,741.15,741.15,741.15,False,,MATCH,MATCH,True,MATCH,MATCH,True
PAY100040,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.,MATCHED,"Payment, settlement, and bank records reconcile within configured rules.",0.99,FINAL,AVAILABLE,FOUND,FOUND,PAYMENT_ID,SET500040,BANK900040,24557.5,24557.5,24557.5,False,,MATCH,MATCH,True,MATCH,MATCH,True
PAY100041,MISSING_SETTLEMENT,EXCEPTION,No settlement record exists for successful payment.,EXCEPTION,No corresponding settlement record was found for the payment.,0.98,FINAL,AVAILABLE,NOT_FOUND,UNKNOWN,NO_SETTLEMENT,,,,,,False,,EXCEPTION,EXCEPTION,True,MISSING_SETTLEMENT,MISSING_SETTLEMENT,True
PAY100042,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.,MATCHED,"Payment, settlement, and bank records reconcile within configured rules.",0.99,FINAL,AVAILABLE,FOUND,FOUND,PAYMENT_ID,SET500042,BANK900042,49115.0,49115.0,49115.0,False,,MATCH,MATCH,True,MATCH,MATCH,True
PAY100043,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.,MATCHED,"Payment, settlement, and bank records reconcile within configured rules.",0.99,FINAL,AVAILABLE,FOUND,FOUND,PAYMENT_ID,SET500043,BANK900043,24557.5,24557.5,24557.5,False,,MATCH,MATCH,True,MATCH,MATCH,True
PAY100044,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.,MATCHED,"Payment, settlement, and bank records reconcile within configured rules.",0.99,FINAL,AVAILABLE,FOUND,FOUND,PAYMENT_ID,SET500044,BANK900044,11787.6,11787.6,11787.6,False,,MATCH,MATCH,True,MATCH,MATCH,True
PAY100045,MISSING_BANK_CREDIT,EXCEPTION,Settlement exists but no bank credit exists.,EXCEPTION,Settlement exists but bank credit was not found.,0.95,FINAL,AVAILABLE,FOUND,NOT_FOUND,PAYMENT_ID,SET500045,,741.15,741.15,,False,,EXCEPTION,EXCEPTION,True,MISSING_BANK_CREDIT,MISSING_BANK_CREDIT,True
PAY100046,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.,MATCHED,"Payment, settlement, and bank records reconcile within configured rules.",0.99,FINAL,AVAILABLE,FOUND,FOUND,PAYMENT_ID,SET500046,BANK900046,2470.5,2470.5,2470.5,False,,MATCH,MATCH,True,MATCH,MATCH,True
PAY100047,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.,MATCHED,"Payment, settlement, and bank records reconcile within configured rules.",0.99,FINAL,AVAILABLE,FOUND,FOUND,PAYMENT_ID,SET500047,BANK900047,74115.0,74115.0,74115.0,False,,MATCH,MATCH,True,MATCH,MATCH,True
PAY100048,FEE_TAX_DIFFERENCE,EXCEPTION,Settlement is lower than expected net after configured fee and tax.,EXCEPTION,"Settlement amount mismatch. Expected ₹2470.50, recorded ₹2420.50.",0.9,FINAL,AVAILABLE,FOUND,FOUND,PAYMENT_ID,SET500048,BANK900048,2470.5,2420.5,2420.5,False,,EXCEPTION,EXCEPTION,True,FEE_TAX_DIFFERENCE,FEE_TAX_DIFFERENCE,True
PAY100049,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.,MATCHED,"Payment, settlement, and bank records reconcile within configured rules.",0.99,FINAL,AVAILABLE,FOUND,FOUND,PAYMENT_ID,SET500049,BANK900049,4941.0,4941.0,4941.0,False,,MATCH,MATCH,True,MATCH,MATCH,True
PAY100050,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.,MATCHED,"Payment, settlement, and bank records reconcile within configured rules.",0.99,FINAL,AVAILABLE,FOUND,FOUND,PAYMENT_ID,SET500050,BANK900050,4941.0,4941.0,4941.0,False,,MATCH,MATCH,True,MATCH,MATCH,True
PAY100051,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.,MATCHED,"Payment, settlement, and bank records reconcile within configured rules.",0.99,FINAL,AVAILABLE,FOUND,FOUND,PAYMENT_ID,SET500051,BANK900051,1178.76,1178.76,1178.76,False,,MATCH,MATCH,True,MATCH,MATCH,True
PAY100052,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.,MATCHED,"Payment, settlement, and bank records reconcile within configured rules.",0.99,FINAL,AVAILABLE,FOUND,FOUND,PAYMENT_ID,SET500052,BANK900052,73672.5,73672.5,73672.5,False,,MATCH,MATCH,True,MATCH,MATCH,True
PAY100053,PARTIAL_SETTLEMENT,EXCEPTION,Settlement amount is materially lower than expected net amount.,EXCEPTION,"Partial settlement detected. Expected ₹24557.50, received ₹14734.50.",0.98,FINAL,AVAILABLE,FOUND,FOUND,PAYMENT_ID,SET500053,BANK900053,24557.5,14734.5,14734.5,False,,EXCEPTION,EXCEPTION,True,PARTIAL_SETTLEMENT,PARTIAL_SETTLEMENT,True
PAY100054,FEE_TAX_DIFFERENCE,EXCEPTION,Settlement is lower than expected net after configured fee and tax.,EXCEPTION,"Settlement amount mismatch. Expected ₹2470.50, recorded ₹2420.50.",0.9,FINAL,AVAILABLE,FOUND,FOUND,PAYMENT_ID,SET500054,BANK900054,2470.5,2420.5,2420.5,False,,EXCEPTION,EXCEPTION,True,FEE_TAX_DIFFERENCE,FEE_TAX_DIFFERENCE,True
PAY100055,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.,MATCHED,"Payment, settlement, and bank records reconcile within configured rules.",0.99,FINAL,AVAILABLE,FOUND,FOUND,PAYMENT_ID,SET500055,BANK900055,24557.5,24557.5,24557.5,False,,MATCH,MATCH,True,MATCH,MATCH,True
PAY100056,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.,MATCHED,"Payment, settlement, and bank records reconcile within configured rules.",0.99,FINAL,AVAILABLE,FOUND,FOUND,PAYMENT_ID,SET500056,BANK900056,8349.55,8349.55,8349.55,False,,MATCH,MATCH,True,MATCH,MATCH,True
PAY100057,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.,MATCHED,"Payment, settlement, and bank records reconcile within configured rules.",0.99,FINAL,AVAILABLE,FOUND,FOUND,PAYMENT_ID,SET500057,BANK900057,98230.0,98230.0,98230.0,False,,MATCH,MATCH,True,MATCH,MATCH,True
PAY100058,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.,MATCHED,"Payment, settlement, and bank records reconcile within configured rules.",0.99,FINAL,AVAILABLE,FOUND,FOUND,PAYMENT_ID,SET500058,BANK900058,736.73,736.73,736.73,False,,MATCH,MATCH,True,MATCH,MATCH,True
PAY100059,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.,MATCHED,"Payment, settlement, and bank records reconcile within configured rules.",0.99,FINAL,AVAILABLE,FOUND,FOUND,PAYMENT_ID,SET500059,BANK900059,8399.7,8399.7,8399.7,False,,MATCH,MATCH,True,MATCH,MATCH,True
PAY100060,MISSING_SETTLEMENT,EXCEPTION,No settlement record exists for successful payment.,EXCEPTION,No corresponding settlement record was found for the payment.,0.98,FINAL,AVAILABLE,NOT_FOUND,UNKNOWN,NO_SETTLEMENT,,,,,,False,,EXCEPTION,EXCEPTION,True,MISSING_SETTLEMENT,MISSING_SETTLEMENT,True
PAY100061,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.,MATCHED,"Payment, settlement, and bank records reconcile within configured rules.",0.99,FINAL,AVAILABLE,FOUND,FOUND,PAYMENT_ID,SET500061,BANK900061,1178.76,1178.76,1178.76,False,,MATCH,MATCH,True,MATCH,MATCH,True
PAY100062,MISSING_SETTLEMENT,EXCEPTION,No settlement record exists for successful payment.,EXCEPTION,No corresponding settlement record was found for the payment.,0.98,FINAL,AVAILABLE,NOT_FOUND,UNKNOWN,NO_SETTLEMENT,,,,,,False,,EXCEPTION,EXCEPTION,True,MISSING_SETTLEMENT,MISSING_SETTLEMENT,True
PAY100063,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.,MATCHED,"Payment, settlement, and bank records reconcile within configured rules.",0.99,FINAL,AVAILABLE,FOUND,FOUND,PAYMENT_ID,SET500063,BANK900063,11787.6,11787.6,11787.6,False,,MATCH,MATCH,True,MATCH,MATCH,True
PAY100064,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.,MATCHED,"Payment, settlement, and bank records reconcile within configured rules.",0.99,FINAL,AVAILABLE,FOUND,FOUND,PAYMENT_ID,SET500064,BANK900064,49410.0,49410.0,49410.0,False,,MATCH,MATCH,True,MATCH,MATCH,True
PAY100065,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.,MATCHED,"Payment, settlement, and bank records reconcile within configured rules.",0.99,FINAL,AVAILABLE,FOUND,FOUND,PAYMENT_ID,SET500065,BANK900065,491.15,491.15,491.15,False,,MATCH,MATCH,True,MATCH,MATCH,True
PAY100066,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.,MATCHED,"Payment, settlement, and bank records reconcile within configured rules.",0.99,FINAL,AVAILABLE,FOUND,FOUND,PAYMENT_ID,SET500066,BANK900066,8349.55,8349.55,8349.55,False,,MATCH,MATCH,True,MATCH,MATCH,True
PAY100067,FEE_TAX_DIFFERENCE,EXCEPTION,Settlement is lower than expected net after configured fee and tax.,EXCEPTION,"Settlement amount mismatch. Expected ₹2470.50, recorded ₹2370.50.",0.9,FINAL,AVAILABLE,FOUND,FOUND,PAYMENT_ID,SET500067,BANK900067,2470.5,2370.5,2370.5,False,,EXCEPTION,EXCEPTION,True,FEE_TAX_DIFFERENCE,FEE_TAX_DIFFERENCE,True
PAY100068,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.,MATCHED,"Payment, settlement, and bank records reconcile within configured rules.",0.99,FINAL,AVAILABLE,FOUND,FOUND,PAYMENT_ID,SET500068,BANK900068,11787.6,11787.6,11787.6,False,,MATCH,MATCH,True,MATCH,MATCH,True
PAY100069,MISSING_SETTLEMENT,EXCEPTION,No settlement record exists for successful payment.,EXCEPTION,No corresponding settlement record was found for the payment.,0.98,FINAL,AVAILABLE,NOT_FOUND,UNKNOWN,NO_SETTLEMENT,,,,,,False,,EXCEPTION,EXCEPTION,True,MISSING_SETTLEMENT,MISSING_SETTLEMENT,True
PAY100070,PARTIAL_SETTLEMENT,EXCEPTION,Settlement amount is materially lower than expected net amount.,EXCEPTION,"Partial settlement detected. Expected ₹11858.40, received ₹4150.44.",0.98,FINAL,AVAILABLE,FOUND,FOUND,PAYMENT_ID,SET500070,BANK900070,11858.4,4150.44,4150.44,False,,EXCEPTION,EXCEPTION,True,PARTIAL_SETTLEMENT,PARTIAL_SETTLEMENT,True
PAY100071,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.,MATCHED,"Payment, settlement, and bank records reconcile within configured rules.",0.99,FINAL,AVAILABLE,FOUND,FOUND,PAYMENT_ID,SET500071,BANK900071,736.73,736.73,736.73,False,,MATCH,MATCH,True,MATCH,MATCH,True
PAY100072,SETTLEMENT_DELAY,EXCEPTION,Settlement occurred outside the configured settlement window.,EXCEPTION,Settlement occurred outside the configured settlement window.,0.97,FINAL,AVAILABLE,FOUND,FOUND,PAYMENT_ID,SET500072,BANK900072,24705.0,24705.0,24705.0,False,,EXCEPTION,EXCEPTION,True,SETTLEMENT_DELAY,SETTLEMENT_DELAY,True
PAY100073,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.,MATCHED,"Payment, settlement, and bank records reconcile within configured rules.",0.99,FINAL,AVAILABLE,FOUND,FOUND,PAYMENT_ID,SET500073,BANK900073,98820.0,98820.0,98820.0,False,,MATCH,MATCH,True,MATCH,MATCH,True
PAY100074,FEE_TAX_DIFFERENCE,EXCEPTION,Settlement is lower than expected net after configured fee and tax.,EXCEPTION,"Settlement amount mismatch. Expected ₹491.15, recorded ₹341.15.",0.9,FINAL,AVAILABLE,FOUND,FOUND,PAYMENT_ID,SET500074,BANK900074,491.15,341.15,341.15,False,,EXCEPTION,EXCEPTION,True,FEE_TAX_DIFFERENCE,FEE_TAX_DIFFERENCE,True
PAY100075,MISSING_BANK_CREDIT,EXCEPTION,Settlement exists but no bank credit exists.,EXCEPTION,Settlement exists but bank credit was not found.,0.95,FINAL,AVAILABLE,FOUND,NOT_FOUND,PAYMENT_ID,SET500075,,1185.84,1185.84,,False,,EXCEPTION,EXCEPTION,True,MISSING_BANK_CREDIT,MISSING_BANK_CREDIT,True
PAY100076,MISSING_BANK_CREDIT,EXCEPTION,Settlement exists but no bank credit exists.,EXCEPTION,Settlement exists but bank credit was not found.,0.95,FINAL,AVAILABLE,FOUND,NOT_FOUND,PAYMENT_ID,SET500076,,74115.0,74115.0,,False,,EXCEPTION,EXCEPTION,True,MISSING_BANK_CREDIT,MISSING_BANK_CREDIT,True
PAY100077,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.,MATCHED,"Payment, settlement, and bank records reconcile within configured rules.",0.99,FINAL,AVAILABLE,FOUND,FOUND,PAYMENT_ID,SET500077,BANK900077,24557.5,24557.5,24557.5,False,,MATCH,MATCH,True,MATCH,MATCH,True
PAY100078,FEE_TAX_DIFFERENCE,EXCEPTION,Settlement is lower than expected net after configured fee and tax.,EXCEPTION,"Settlement amount mismatch. Expected ₹98230.00, recorded ₹98080.00.",0.9,FINAL,AVAILABLE,FOUND,FOUND,PAYMENT_ID,SET500078,BANK900078,98230.0,98080.0,98080.0,False,,EXCEPTION,EXCEPTION,True,FEE_TAX_DIFFERENCE,FEE_TAX_DIFFERENCE,True
PAY100079,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.,MATCHED,"Payment, settlement, and bank records reconcile within configured rules.",0.99,FINAL,AVAILABLE,FOUND,FOUND,PAYMENT_ID,SET500079,BANK900079,2455.75,2455.75,2455.75,False,,MATCH,MATCH,True,MATCH,MATCH,True
PAY100080,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.,MATCHED,"Payment, settlement, and bank records reconcile within configured rules.",0.99,FINAL,AVAILABLE,FOUND,FOUND,PAYMENT_ID,SET500080,BANK900080,11787.6,11787.6,11787.6,False,,MATCH,MATCH,True,MATCH,MATCH,True
PAY100081,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.,MATCHED,"Payment, settlement, and bank records reconcile within configured rules.",0.99,FINAL,AVAILABLE,FOUND,FOUND,PAYMENT_ID,SET500081,BANK900081,73672.5,73672.5,73672.5,False,,MATCH,MATCH,True,MATCH,MATCH,True
