payment_id,scenario,expected_status,expected_reason
PAY100077,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100078,FEE_TAX_DIFFERENCE,EXCEPTION,Settlement is lower than expected net after configured fee and tax.
PAY100079,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100080,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100081,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100082,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100083,PARTIAL_SETTLEMENT,EXCEPTION,Settlement amount is materially lower than expected net amount.
PAY100084,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100085,MISSING_BANK_CREDIT,EXCEPTION,Settlement exists but no bank credit exists.
PAY100086,DUPLICATE,EXCEPTION,Duplicate payment record.
PAY100087,MISSING_SETTLEMENT,EXCEPTION,No settlement record exists for successful payment.
PAY100088,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100089,DUPLICATE,EXCEPTION,Duplicate payment record.
PAY100090,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100091,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100092,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100093,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100094,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100095,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100096,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100097,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100098,DUPLICATE,EXCEPTION,Duplicate payment record.
PAY100099,MISSING_BANK_CREDIT,EXCEPTION,Settlement exists but no bank credit exists.
PAY100100,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100101,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100102,MISSING_SETTLEMENT,EXCEPTION,No settlement record exists for successful payment.
PAY100103,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100104,MISSING_SETTLEMENT,EXCEPTION,No settlement record exists for successful payment.
PAY100105,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100106,FEE_TAX_DIFFERENCE,EXCEPTION,Settlement is lower than expected net after configured fee and tax.
PAY100107,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100108,MISSING_BANK_CREDIT,EXCEPTION,Settlement exists but no bank credit exists.
PAY100109,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100110,FEE_TAX_DIFFERENCE,EXCEPTION,Settlement is lower than expected net after configured fee and tax.
PAY100111,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100112,MISSING_BANK_CREDIT,EXCEPTION,Settlement exists but no bank credit exists.
PAY100113,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100114,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100115,MISSING_SETTLEMENT,EXCEPTION,No settlement record exists for successful payment.
PAY100116,AMOUNT_MISMATCH,EXCEPTION,Settlement amount differs from expected net without a valid adjustment.
PAY100117,DUPLICATE,EXCEPTION,Duplicate payment record.
PAY100118,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100119,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100120,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100121,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100122,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100123,AMOUNT_MISMATCH,EXCEPTION,Settlement amount differs from expected net without a valid adjustment.
PAY100124,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100125,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100126,MISSING_BANK_CREDIT,EXCEPTION,Settlement exists but no bank credit exists.
PAY100127,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100128,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100129,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100130,FEE_TAX_DIFFERENCE,EXCEPTION,Settlement is lower than expected net after configured fee and tax.
PAY100131,FEE_TAX_DIFFERENCE,EXCEPTION,Settlement is lower than expected net after configured fee and tax.
PAY100132,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100133,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100134,AMOUNT_MISMATCH,EXCEPTION,Settlement amount differs from expected net without a valid adjustment.
PAY100135,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100136,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100137,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100138,FEE_TAX_DIFFERENCE,EXCEPTION,Settlement is lower than expected net after configured fee and tax.
PAY100139,MISSING_SETTLEMENT,EXCEPTION,No settlement record exists for successful payment.
PAY100140,SETTLEMENT_DELAY,EXCEPTION,Settlement occurred outside the configured settlement window.
PAY100141,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100142,PARTIAL_SETTLEMENT,EXCEPTION,Settlement amount is materially lower than expected net amount.
PAY100143,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100144,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100145,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100146,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100147,MISSING_BANK_CREDIT,EXCEPTION,Settlement exists but no bank credit exists.
PAY100148,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100149,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100150,SETTLEMENT_DELAY,EXCEPTION,Settlement occurred outside the configured settlement window.
PAY100151,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100152,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100153,DUPLICATE,EXCEPTION,Duplicate payment record.
PAY100154,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100155,FEE_TAX_DIFFERENCE,EXCEPTION,Settlement is lower than expected net after configured fee and tax.
PAY100156,SETTLEMENT_DELAY,EXCEPTION,Settlement occurred outside the configured settlement window.
PAY100157,FEE_TAX_DIFFERENCE,EXCEPTION,Settlement is lower than expected net after configured fee and tax.
PAY100158,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100159,PARTIAL_SETTLEMENT,EXCEPTION,Settlement amount is materially lower than expected net amount.
PAY100160,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100161,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100162,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100163,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100164,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100165,FEE_TAX_DIFFERENCE,EXCEPTION,Settlement is lower than expected net after configured fee and tax.
PAY100166,FEE_TAX_DIFFERENCE,EXCEPTION,Settlement is lower than expected net after configured fee and tax.
PAY100167,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100168,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100169,MISSING_BANK_CREDIT,EXCEPTION,Settlement exists but no bank credit exists.
PAY100170,MISSING_BANK_CREDIT,EXCEPTION,Settlement exists but no bank credit exists.
PAY100171,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100172,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100173,DUPLICATE,EXCEPTION,Duplicate payment record.
PAY100174,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100175,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100176,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100177,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100178,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100179,MISSING_BANK_CREDIT,EXCEPTION,Settlement exists but no bank credit exists.
PAY100180,SETTLEMENT_DELAY,EXCEPTION,Settlement occurred outside the configured settlement window.
PAY100181,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100182,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100183,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100184,SETTLEMENT_DELAY,EXCEPTION,Settlement occurred outside the configured settlement window.
PAY100185,DUPLICATE,EXCEPTION,Duplicate payment record.
PAY100186,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100187,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100188,AMOUNT_MISMATCH,EXCEPTION,Settlement amount differs from expected net without a valid adjustment.
PAY100189,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100190,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100191,FEE_TAX_DIFFERENCE,EXCEPTION,Settlement is lower than expected net after configured fee and tax.
PAY100192,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100193,FEE_TAX_DIFFERENCE,EXCEPTION,Settlement is lower than expected net after configured fee and tax.
PAY100194,SETTLEMENT_DELAY,EXCEPTION,Settlement occurred outside the configured settlement window.
PAY100195,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100196,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100197,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100198,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100199,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100200,DUPLICATE,EXCEPTION,Duplicate payment record.
PAY100201,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100202,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100203,MISSING_BANK_CREDIT,EXCEPTION,Settlement exists but no bank credit exists.
PAY100204,AMBIGUOUS_UNRESOLVED,UNRESOLVED,Insufficient evidence to uniquely resolve the transaction.
PAY100205,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100206,AMBIGUOUS_UNRESOLVED,UNRESOLVED,Insufficient evidence to uniquely resolve the transaction.
PAY100207,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100208,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100209,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100210,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100211,MISSING_SETTLEMENT,EXCEPTION,No settlement record exists for successful payment.
PAY100212,MISSING_BANK_CREDIT,EXCEPTION,Settlement exists but no bank credit exists.
PAY100213,PARTIAL_SETTLEMENT,EXCEPTION,Settlement amount is materially lower than expected net amount.
PAY100214,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100215,NOISY_REFERENCE,MATCH,Reference formatting differs but records should match after normalization.
PAY100216,MISSING_SETTLEMENT,EXCEPTION,No settlement record exists for successful payment.
PAY100217,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100218,PARTIAL_SETTLEMENT,EXCEPTION,Settlement amount is materially lower than expected net amount.
PAY100219,PARTIAL_SETTLEMENT,EXCEPTION,Settlement amount is materially lower than expected net amount.
PAY100220,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100221,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100222,SETTLEMENT_DELAY,EXCEPTION,Settlement occurred outside the configured settlement window.
PAY100223,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100224,MISSING_SETTLEMENT,EXCEPTION,No settlement record exists for successful payment.
PAY100225,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100226,AMOUNT_MISMATCH,EXCEPTION,Settlement amount differs from expected net without a valid adjustment.
PAY100227,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100228,FEE_TAX_DIFFERENCE,EXCEPTION,Settlement is lower than expected net after configured fee and tax.
PAY100229,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100230,PARTIAL_SETTLEMENT,EXCEPTION,Settlement amount is materially lower than expected net amount.
PAY100231,AMOUNT_MISMATCH,EXCEPTION,Settlement amount differs from expected net without a valid adjustment.
PAY100232,DUPLICATE,EXCEPTION,Duplicate payment record.
PAY100233,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100234,DUPLICATE,EXCEPTION,Duplicate payment record.
PAY100235,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100236,MISSING_SETTLEMENT,EXCEPTION,No settlement record exists for successful payment.
PAY100237,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100238,PARTIAL_SETTLEMENT,EXCEPTION,Settlement amount is materially lower than expected net amount.
PAY100239,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100240,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100241,MISSING_BANK_CREDIT,EXCEPTION,Settlement exists but no bank credit exists.
PAY100242,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100243,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100244,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100245,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100246,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100247,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100248,AMOUNT_MISMATCH,EXCEPTION,Settlement amount differs from expected net without a valid adjustment.
PAY100249,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100250,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100251,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100252,DUPLICATE,EXCEPTION,Duplicate payment record.
PAY100253,AMOUNT_MISMATCH,EXCEPTION,Settlement amount differs from expected net without a valid adjustment.
PAY100254,NOISY_REFERENCE,MATCH,Reference formatting differs but records should match after normalization.
PAY100255,PARTIAL_SETTLEMENT,EXCEPTION,Settlement amount is materially lower than expected net amount.
PAY100256,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100257,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100258,PARTIAL_SETTLEMENT,EXCEPTION,Settlement amount is materially lower than expected net amount.
PAY100259,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100260,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100261,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100262,MISSING_BANK_CREDIT,EXCEPTION,Settlement exists but no bank credit exists.
PAY100263,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100264,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100265,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100266,MISSING_BANK_CREDIT,EXCEPTION,Settlement exists but no bank credit exists.
PAY100267,SETTLEMENT_DELAY,EXCEPTION,Settlement occurred outside the configured settlement window.
PAY100268,MISSING_SETTLEMENT,EXCEPTION,No settlement record exists for successful payment.
PAY100269,MISSING_BANK_CREDIT,EXCEPTION,Settlement exists but no bank credit exists.
PAY100270,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100271,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100272,FEE_TAX_DIFFERENCE,EXCEPTION,Settlement is lower than expected net after configured fee and tax.
PAY100273,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100274,MISSING_SETTLEMENT,EXCEPTION,No settlement record exists for successful payment.
PAY100275,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100276,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100277,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100278,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100279,FEE_TAX_DIFFERENCE,EXCEPTION,Settlement is lower than expected net after configured fee and tax.
PAY100280,MISSING_SETTLEMENT,EXCEPTION,No settlement record exists for successful payment.
PAY100281,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100282,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100283,FEE_TAX_DIFFERENCE,EXCEPTION,Settlement is lower than expected net after configured fee and tax.
PAY100284,MISSING_SETTLEMENT,EXCEPTION,No settlement record exists for successful payment.
PAY100285,FEE_TAX_DIFFERENCE,EXCEPTION,Settlement is lower than expected net after configured fee and tax.
PAY100286,FEE_TAX_DIFFERENCE,EXCEPTION,Settlement is lower than expected net after configured fee and tax.
PAY100287,MISSING_SETTLEMENT,EXCEPTION,No settlement record exists for successful payment.
PAY100288,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100289,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100290,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100291,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100292,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100293,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100294,DUPLICATE,EXCEPTION,Duplicate payment record.
PAY100295,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100296,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100297,DUPLICATE,EXCEPTION,Duplicate payment record.
PAY100298,MISSING_SETTLEMENT,EXCEPTION,No settlement record exists for successful payment.
PAY100299,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100300,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100301,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100302,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100303,MISSING_SETTLEMENT,EXCEPTION,No settlement record exists for successful payment.
PAY100304,FEE_TAX_DIFFERENCE,EXCEPTION,Settlement is lower than expected net after configured fee and tax.
PAY100305,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100306,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100307,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100308,FEE_TAX_DIFFERENCE,EXCEPTION,Settlement is lower than expected net after configured fee and tax.
PAY100309,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100310,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100311,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100312,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100313,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100314,MISSING_SETTLEMENT,EXCEPTION,No settlement record exists for successful payment.
PAY100315,SETTLEMENT_DELAY,EXCEPTION,Settlement occurred outside the configured settlement window.
PAY100316,MISSING_BANK_CREDIT,EXCEPTION,Settlement exists but no bank credit exists.
PAY100317,FEE_TAX_DIFFERENCE,EXCEPTION,Settlement is lower than expected net after configured fee and tax.
PAY100318,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100319,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100320,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100321,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100322,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100323,DUPLICATE,EXCEPTION,Duplicate payment record.
PAY100324,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100325,SETTLEMENT_DELAY,EXCEPTION,Settlement occurred outside the configured settlement window.
PAY100326,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100327,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100328,DUPLICATE,EXCEPTION,Duplicate payment record.
PAY100329,AMBIGUOUS_UNRESOLVED,UNRESOLVED,Insufficient evidence to uniquely resolve the transaction.
PAY100330,SETTLEMENT_DELAY,EXCEPTION,Settlement occurred outside the configured settlement window.
PAY100331,FEE_TAX_DIFFERENCE,EXCEPTION,Settlement is lower than expected net after configured fee and tax.
PAY100332,MISSING_BANK_CREDIT,EXCEPTION,Settlement exists but no bank credit exists.
PAY100333,PARTIAL_SETTLEMENT,EXCEPTION,Settlement amount is materially lower than expected net amount.
PAY100334,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100335,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100336,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100337,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100338,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100339,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100340,MISSING_BANK_CREDIT,EXCEPTION,Settlement exists but no bank credit exists.
PAY100341,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100342,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100343,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100344,FEE_TAX_DIFFERENCE,EXCEPTION,Settlement is lower than expected net after configured fee and tax.
PAY100345,AMOUNT_MISMATCH,EXCEPTION,Settlement amount differs from expected net without a valid adjustment.
PAY100346,SETTLEMENT_DELAY,EXCEPTION,Settlement occurred outside the configured settlement window.
PAY100347,DUPLICATE,EXCEPTION,Duplicate payment record.
PAY100348,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100349,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100350,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100351,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
PAY100352,PERFECT_MATCH,MATCH,All sources reconcile within configured rules.
