settlement_id,payment_id,merchant_id,settlement_date,gross_amount,processing_fee,tax,adjustment,net_amount,settlement_status,reference_id
SET500049,PAY100049,MER001,2026-08-17,5000,50.0,9.0,0.0,4941.0,SETTLED,ORD-342720
SET500050,PAY100050,MER010,2026-08-05,5000,50.0,9.0,0.0,4941.0,SETTLED,ORD-718439
SET500051,PAY100051,MER007,2026-08-06,1200,18.0,3.24,0.0,1178.76,SETTLED,ORD-966785
SET500052,PAY100052,MER003,2026-08-08,75000,1125.0,202.5,0.0,73672.5,SETTLED,ORD-560485
SET500053,PAY100053,MER015,2026-08-15,25000,375.0,67.5,0.0,14734.5,SETTLED,ORD-184349
SET500054,PAY100054,MER014,2026-08-22,2500,25.0,4.5,0.0,2420.5,SETTLED,ORD-976566
SET500055,PAY100055,MER019,2026-08-08,25000,375.0,67.5,0.0,24557.5,SETTLED,ORD-290305
SET500056,PAY100056,MER014,2026-08-05,8500,127.5,22.95,0.0,8349.55,SETTLED,ORD-802685
SET500057,PAY100057,MER006,2026-08-16,100000,1500.0,270.0,0.0,98230.0,SETTLED,ORD-953085
SET500058,PAY100058,MER002,2026-08-05,750,11.25,2.02,0.0,736.73,SETTLED,ORD-639593
SET500059,PAY100059,MER018,2026-08-16,8500,85.0,15.3,0.0,8399.7,SETTLED,ORD-893188
SET500061,PAY100061,MER004,2026-08-23,1200,18.0,3.24,0.0,1178.76,SETTLED,ORD-677596
SET500063,PAY100063,MER005,2026-08-12,12000,180.0,32.4,0.0,11787.6,SETTLED,ORD-595158
SET500064,PAY100064,MER015,2026-08-15,50000,500.0,90.0,0.0,49410.0,SETTLED,ORD-243139
SET500065,PAY100065,MER009,2026-08-13,500,7.5,1.35,0.0,491.15,SETTLED,ORD-861319
SET500066,PAY100066,MER019,2026-08-07,8500,127.5,22.95,0.0,8349.55,SETTLED,ORD-678727
SET500067,PAY100067,MER013,2026-08-13,2500,25.0,4.5,0.0,2370.5,SETTLED,ORD-501574
SET500068,PAY100068,MER002,2026-08-18,12000,180.0,32.4,0.0,11787.6,SETTLED,ORD-795928
SET500070,PAY100070,MER004,2026-08-17,12000,120.0,21.6,0.0,4150.44,SETTLED,ORD-261859
SET500071,PAY100071,MER009,2026-08-22,750,11.25,2.02,0.0,736.73,SETTLED,ORD-993744
SET500072,PAY100072,MER013,2026-08-26,25000,250.0,45.0,0.0,24705.0,SETTLED,ORD-137642
SET500073,PAY100073,MER010,2026-08-05,100000,1000.0,180.0,0.0,98820.0,SETTLED,ORD-205389
SET500074,PAY100074,MER006,2026-08-03,500,7.5,1.35,0.0,341.15,SETTLED,ORD-475876
SET500075,PAY100075,MER005,2026-08-19,1200,12.0,2.16,0.0,1185.84,SETTLED,ORD-283573
SET500076,PAY100076,MER003,2026-08-22,75000,750.0,135.0,0.0,74115.0,SETTLED,ORD-343467
SET500077,PAY100077,MER015,2026-08-17,25000,375.0,67.5,0.0,24557.5,SETTLED,ORD-810526
SET500078,PAY100078,MER006,2026-08-17,100000,1500.0,270.0,0.0,98080.0,SETTLED,ORD-823846
SET500079,PAY100079,MER010,2026-08-15,2500,37.5,6.75,0.0,2455.75,SETTLED,ORD-699704
SET500080,PAY100080,MER019,2026-08-12,12000,180.0,32.4,0.0,11787.6,SETTLED,ORD-108491
SET500081,PAY100081,MER002,2026-08-12,75000,1125.0,202.5,0.0,73672.5,SETTLED,ORD-329642
SET500082,PAY100082,MER007,2026-08-07,100000,1000.0,180.0,0.0,98820.0,SETTLED,ORD-141337
SET500083,PAY100083,MER015,2026-08-21,750,11.25,2.02,0.0,442.04,SETTLED,ORD-442589
SET500084,PAY100084,MER006,2026-08-07,8500,85.0,15.3,0.0,8399.7,SETTLED,ORD-626169
SET500085,PAY100085,MER006,2026-08-18,8500,85.0,15.3,0.0,8399.7,SETTLED,ORD-591081
SET500086,PAY100086,MER003,2026-08-10,100000,1500.0,270.0,0.0,98230.0,SETTLED,ORD-986827
SET500088,PAY100088,MER019,2026-08-23,2500,37.5,6.75,0.0,2455.75,SETTLED,ORD-126240
SET500089,PAY100089,MER018,2026-08-22,100000,1500.0,270.0,0.0,98230.0,SETTLED,ORD-835132
SET500090,PAY100090,MER014,2026-08-07,25000,250.0,45.0,0.0,24705.0,SETTLED,ORD-201913
SET500091,PAY100091,MER018,2026-08-15,50000,750.0,135.0,0.0,49115.0,SETTLED,ORD-715870
SET500092,PAY100092,MER014,2026-08-18,500,5.0,0.9,0.0,494.1,SETTLED,ORD-488528
SET500093,PAY100093,MER015,2026-08-10,100000,1500.0,270.0,0.0,98230.0,SETTLED,ORD-670913
SET500094,PAY100094,MER012,2026-08-15,25000,250.0,45.0,0.0,24705.0,SETTLED,ORD-794963
SET500095,PAY100095,MER020,2026-08-04,1200,12.0,2.16,0.0,1185.84,SETTLED,ORD-315173
SET500096,PAY100096,MER018,2026-08-21,2500,37.5,6.75,0.0,2455.75,SETTLED,ORD-911984
SET500097,PAY100097,MER020,2026-08-11,50000,750.0,135.0,0.0,49115.0,SETTLED,ORD-937302
SET500098,PAY100098,MER004,2026-08-07,2500,25.0,4.5,0.0,2470.5,SETTLED,ORD-439498
SET500099,PAY100099,MER006,2026-08-04,50000,500.0,90.0,0.0,49410.0,SETTLED,ORD-881886
SET500100,PAY100100,MER003,2026-08-17,75000,750.0,135.0,0.0,74115.0,SETTLED,ORD-573962
SET500101,PAY100101,MER008,2026-08-19,500,5.0,0.9,0.0,494.1,SETTLED,ORD-602248
SET500103,PAY100103,MER005,2026-08-07,75000,750.0,135.0,0.0,74115.0,SETTLED,ORD-846746
SET500105,PAY100105,MER018,2026-08-16,12000,180.0,32.4,0.0,11787.6,SETTLED,ORD-967611
SET500106,PAY100106,MER013,2026-08-06,100000,1500.0,270.0,0.0,98130.0,SETTLED,ORD-492483
SET500107,PAY100107,MER003,2026-08-05,8500,85.0,15.3,0.0,8399.7,SETTLED,ORD-683397
SET500108,PAY100108,MER019,2026-08-06,100000,1500.0,270.0,0.0,98230.0,SETTLED,ORD-856086
SET500109,PAY100109,MER002,2026-08-22,75000,750.0,135.0,0.0,74115.0,SETTLED,ORD-323072
SET500110,PAY100110,MER016,2026-08-06,8500,85.0,15.3,0.0,8249.7,SETTLED,ORD-899649
SET500111,PAY100111,MER008,2026-08-20,75000,750.0,135.0,0.0,74115.0,SETTLED,ORD-773918
SET500112,PAY100112,MER001,2026-08-03,5000,75.0,13.5,0.0,4911.5,SETTLED,ORD-468074
SET500113,PAY100113,MER001,2026-08-07,750,7.5,1.35,0.0,741.15,SETTLED,ORD-876962
SET500114,PAY100114,MER001,2026-08-19,25000,375.0,67.5,0.0,24557.5,SETTLED,ORD-265055
SET500116,PAY100116,MER002,2026-08-11,25000,250.0,45.0,0.0,23205.0,SETTLED,ORD-563516
SET500117,PAY100117,MER007,2026-08-06,5000,50.0,9.0,0.0,4941.0,SETTLED,ORD-811444
SET500118,PAY100118,MER016,2026-08-12,75000,750.0,135.0,0.0,74115.0,SETTLED,ORD-108060
SET500119,PAY100119,MER010,2026-08-07,8500,85.0,15.3,0.0,8399.7,SETTLED,ORD-108105
SET500120,PAY100120,MER014,2026-08-07,2500,25.0,4.5,0.0,2470.5,SETTLED,ORD-685864
SET500121,PAY100121,MER012,2026-08-15,12000,120.0,21.6,0.0,11858.4,SETTLED,ORD-582087
SET500122,PAY100122,MER011,2026-08-21,12000,180.0,32.4,0.0,11787.6,SETTLED,ORD-220768
SET500123,PAY100123,MER001,2026-08-08,8500,85.0,15.3,0.0,8149.7,SETTLED,ORD-557925
SET500124,PAY100124,MER014,2026-08-19,5000,50.0,9.0,0.0,4941.0,SETTLED,ORD-456005
SET500125,PAY100125,MER011,2026-08-05,50000,500.0,90.0,0.0,49410.0,SETTLED,ORD-303322
SET500126,PAY100126,MER012,2026-08-10,2500,25.0,4.5,0.0,2470.5,SETTLED,ORD-731661
SET500127,PAY100127,MER005,2026-08-08,25000,250.0,45.0,0.0,24705.0,SETTLED,ORD-896788
SET500128,PAY100128,MER015,2026-08-23,750,11.25,2.02,0.0,736.73,SETTLED,ORD-563688
SET500129,PAY100129,MER010,2026-08-21,750,11.25,2.02,0.0,736.73,SETTLED,ORD-584172
SET500130,PAY100130,MER002,2026-08-14,100000,1000.0,180.0,0.0,98570.0,SETTLED,ORD-744883
SET500131,PAY100131,MER019,2026-08-17,2500,37.5,6.75,0.0,2205.75,SETTLED,ORD-734394
SET500132,PAY100132,MER005,2026-08-17,8500,85.0,15.3,0.0,8399.7,SETTLED,ORD-188425
SET500133,PAY100133,MER006,2026-08-10,50000,500.0,90.0,0.0,49410.0,SETTLED,ORD-739427
SET500134,PAY100134,MER012,2026-08-12,8500,85.0,15.3,0.0,8149.7,SETTLED,ORD-726928
SET500135,PAY100135,MER011,2026-08-13,12000,180.0,32.4,0.0,11787.6,SETTLED,ORD-364236
SET500136,PAY100136,MER020,2026-08-13,1200,18.0,3.24,0.0,1178.76,SETTLED,ORD-425301
SET500137,PAY100137,MER013,2026-08-22,50000,750.0,135.0,0.0,49115.0,SETTLED,ORD-774751
SET500138,PAY100138,MER005,2026-08-05,50000,750.0,135.0,0.0,48965.0,SETTLED,ORD-119116
SET500140,PAY100140,MER010,2026-08-24,50000,500.0,90.0,0.0,49410.0,SETTLED,ORD-794083
SET500141,PAY100141,MER005,2026-08-07,75000,750.0,135.0,0.0,74115.0,SETTLED,ORD-856215
SET500142,PAY100142,MER002,2026-08-14,25000,250.0,45.0,0.0,14823.0,SETTLED,ORD-398768
SET500143,PAY100143,MER008,2026-08-10,25000,250.0,45.0,0.0,24705.0,SETTLED,ORD-485709
SET500144,PAY100144,MER015,2026-08-12,50000,750.0,135.0,0.0,49115.0,SETTLED,ORD-269930
SET500145,PAY100145,MER020,2026-08-11,8500,85.0,15.3,0.0,8399.7,SETTLED,ORD-207573
SET500146,PAY100146,MER004,2026-08-05,25000,250.0,45.0,0.0,24705.0,SETTLED,ORD-254506
SET500147,PAY100147,MER003,2026-08-17,12000,120.0,21.6,0.0,11858.4,SETTLED,ORD-515712
SET500148,PAY100148,MER017,2026-08-10,2500,25.0,4.5,0.0,2470.5,SETTLED,ORD-434165
SET500149,PAY100149,MER011,2026-08-07,25000,250.0,45.0,0.0,24705.0,SETTLED,ORD-971482
SET500150,PAY100150,MER016,2026-08-26,500,7.5,1.35,0.0,491.15,SETTLED,ORD-326130
SET500151,PAY100151,MER020,2026-08-16,2500,37.5,6.75,0.0,2455.75,SETTLED,ORD-227767
SET500152,PAY100152,MER008,2026-08-23,750,7.5,1.35,0.0,741.15,SETTLED,ORD-977330
SET500153,PAY100153,MER020,2026-08-03,2500,25.0,4.5,0.0,2470.5,SETTLED,ORD-250551
SET500154,PAY100154,MER014,2026-08-22,12000,120.0,21.6,0.0,11858.4,SETTLED,ORD-796643
SET500155,PAY100155,MER003,2026-08-14,50000,500.0,90.0,0.0,49360.0,SETTLED,ORD-681070
SET500156,PAY100156,MER016,2026-08-26,500,7.5,1.35,0.0,491.15,SETTLED,ORD-926823
SET500157,PAY100157,MER008,2026-08-21,1200,12.0,2.16,0.0,1035.84,SETTLED,ORD-469412
SET500158,PAY100158,MER006,2026-08-18,1200,12.0,2.16,0.0,1185.84,SETTLED,ORD-850827
SET500159,PAY100159,MER002,2026-08-09,500,7.5,1.35,0.0,294.69,SETTLED,ORD-425138
SET500160,PAY100160,MER018,2026-08-11,2500,37.5,6.75,0.0,2455.75,SETTLED,ORD-474314
SET500161,PAY100161,MER011,2026-08-06,12000,120.0,21.6,0.0,11858.4,SETTLED,ORD-561097
SET500162,PAY100162,MER011,2026-08-18,50000,750.0,135.0,0.0,49115.0,SETTLED,ORD-940064
SET500163,PAY100163,MER014,2026-08-16,50000,750.0,135.0,0.0,49115.0,SETTLED,ORD-436814
SET500164,PAY100164,MER003,2026-08-12,12000,120.0,21.6,0.0,11858.4,SETTLED,ORD-823270
SET500165,PAY100165,MER012,2026-08-04,8500,85.0,15.3,0.0,8249.7,SETTLED,ORD-556068
SET500166,PAY100166,MER002,2026-08-23,100000,1000.0,180.0,0.0,98720.0,SETTLED,ORD-132653
SET500167,PAY100167,MER015,2026-08-07,100000,1500.0,270.0,0.0,98230.0,SETTLED,ORD-479742
SET500168,PAY100168,MER019,2026-08-22,8500,127.5,22.95,0.0,8349.55,SETTLED,ORD-565504
SET500169,PAY100169,MER019,2026-08-19,100000,1500.0,270.0,0.0,98230.0,SETTLED,ORD-361736
SET500170,PAY100170,MER004,2026-08-08,50000,500.0,90.0,0.0,49410.0,SETTLED,ORD-374492
SET500171,PAY100171,MER009,2026-08-09,25000,250.0,45.0,0.0,24705.0,SETTLED,ORD-228594
SET500172,PAY100172,MER003,2026-08-08,100000,1500.0,270.0,0.0,98230.0,SETTLED,ORD-800280
SET500173,PAY100173,MER003,2026-08-12,100000,1000.0,180.0,0.0,98820.0,SETTLED,ORD-932250
SET500174,PAY100174,MER017,2026-08-06,2500,37.5,6.75,0.0,2455.75,SETTLED,ORD-127560
SET500175,PAY100175,MER018,2026-08-17,75000,750.0,135.0,0.0,74115.0,SETTLED,ORD-168941
SET500176,PAY100176,MER013,2026-08-19,75000,750.0,135.0,0.0,74115.0,SETTLED,ORD-231414
SET500177,PAY100177,MER003,2026-08-17,1200,12.0,2.16,0.0,1185.84,SETTLED,ORD-770872
SET500178,PAY100178,MER006,2026-08-16,500,5.0,0.9,0.0,494.1,SETTLED,ORD-643269
SET500179,PAY100179,MER010,2026-08-08,2500,37.5,6.75,0.0,2455.75,SETTLED,ORD-644103
SET500180,PAY100180,MER010,2026-08-16,5000,50.0,9.0,0.0,4941.0,SETTLED,ORD-755383
SET500181,PAY100181,MER018,2026-08-19,75000,750.0,135.0,0.0,74115.0,SETTLED,ORD-279516
SET500182,PAY100182,MER020,2026-08-21,500,5.0,0.9,0.0,494.1,SETTLED,ORD-147670
SET500183,PAY100183,MER019,2026-08-23,12000,120.0,21.6,0.0,11858.4,SETTLED,ORD-770030
SET500184,PAY100184,MER016,2026-08-17,2500,25.0,4.5,0.0,2470.5,SETTLED,ORD-525818
SET500185,PAY100185,MER003,2026-08-08,25000,250.0,45.0,0.0,24705.0,SETTLED,ORD-456717
SET500186,PAY100186,MER005,2026-08-13,12000,120.0,21.6,0.0,11858.4,SETTLED,ORD-897615
SET500187,PAY100187,MER017,2026-08-13,5000,75.0,13.5,0.0,4911.5,SETTLED,ORD-359961
SET500188,PAY100188,MER004,2026-08-12,12000,120.0,21.6,0.0,10858.4,SETTLED,ORD-267457
SET500189,PAY100189,MER011,2026-08-08,25000,375.0,67.5,0.0,24557.5,SETTLED,ORD-621530
SET500190,PAY100190,MER003,2026-08-19,75000,1125.0,202.5,0.0,73672.5,SETTLED,ORD-151021
SET500191,PAY100191,MER010,2026-08-22,25000,375.0,67.5,0.0,24507.5,SETTLED,ORD-662761
SET500192,PAY100192,MER014,2026-08-11,12000,180.0,32.4,0.0,11787.6,SETTLED,ORD-147440
SET500193,PAY100193,MER002,2026-08-14,12000,120.0,21.6,0.0,11708.4,SETTLED,ORD-572230
SET500194,PAY100194,MER020,2026-08-11,8500,85.0,15.3,0.0,8399.7,SETTLED,ORD-483366
SET500195,PAY100195,MER020,2026-08-15,500,5.0,0.9,0.0,494.1,SETTLED,ORD-848255
SET500196,PAY100196,MER016,2026-08-17,50000,500.0,90.0,0.0,49410.0,SETTLED,ORD-443897
SET500197,PAY100197,MER011,2026-08-15,5000,50.0,9.0,0.0,4941.0,SETTLED,ORD-452713
SET500198,PAY100198,MER017,2026-08-18,25000,250.0,45.0,0.0,24705.0,SETTLED,ORD-486251
SET500199,PAY100199,MER004,2026-08-21,100000,1000.0,180.0,0.0,98820.0,SETTLED,ORD-725905
SET500200,PAY100200,MER009,2026-08-04,50000,500.0,90.0,0.0,49410.0,SETTLED,ORD-856215
SET500201,PAY100201,MER013,2026-08-10,750,7.5,1.35,0.0,741.15,SETTLED,ORD-119857
SET500202,PAY100202,MER011,2026-08-07,12000,120.0,21.6,0.0,11858.4,SETTLED,ORD-912617
SET500203,PAY100203,MER016,2026-08-07,8500,85.0,15.3,0.0,8399.7,SETTLED,ORD-601608
SET500204,PAY100204,MER017,2026-08-13,50000,750.0,135.0,0.0,48965.0,SETTLED,ORD-672808
SET800204,PAY100204,MER017,2026-08-13,50000,750.0,135.0,0.0,49190.0,SETTLED,ORD-672808
SET500205,PAY100205,MER009,2026-08-09,5000,50.0,9.0,0.0,4941.0,SETTLED,ORD-412071
SET500206,PAY100206,MER007,2026-08-13,5000,75.0,13.5,0.0,4711.5,SETTLED,ORD-227794
SET800206,PAY100206,MER007,2026-08-13,5000,75.0,13.5,0.0,4961.5,SETTLED,ORD-227794
SET500207,PAY100207,MER013,2026-08-07,750,11.25,2.02,0.0,736.73,SETTLED,ORD-563864
SET500208,PAY100208,MER009,2026-08-09,5000,50.0,9.0,0.0,4941.0,SETTLED,ORD-829988
SET500209,PAY100209,MER005,2026-08-22,2500,25.0,4.5,0.0,2470.5,SETTLED,ORD-802371
SET500210,PAY100210,MER008,2026-08-04,25000,250.0,45.0,0.0,24705.0,SETTLED,ORD-814281
SET500212,PAY100212,MER010,2026-08-12,750,7.5,1.35,0.0,741.15,SETTLED,ORD-702022
SET500213,PAY100213,MER008,2026-08-04,1200,12.0,2.16,0.0,592.92,SETTLED,ORD-976822
SET500214,PAY100214,MER006,2026-08-04,75000,750.0,135.0,0.0,74115.0,SETTLED,ORD-451317
SET500215,PAY100215,MER015,2026-08-19,50000,750.0,135.0,0.0,49115.0,SETTLED,ORD386090
SET500217,PAY100217,MER011,2026-08-21,1200,12.0,2.16,0.0,1185.84,SETTLED,ORD-997734
SET500218,PAY100218,MER013,2026-08-19,100000,1000.0,180.0,0.0,34587.0,SETTLED,ORD-293757
SET500219,PAY100219,MER011,2026-08-03,25000,375.0,67.5,0.0,12278.75,SETTLED,ORD-445637
SET500220,PAY100220,MER019,2026-08-11,2500,25.0,4.5,0.0,2470.5,SETTLED,ORD-800224
SET500221,PAY100221,MER015,2026-08-08,5000,50.0,9.0,0.0,4941.0,SETTLED,ORD-223119
SET500222,PAY100222,MER010,2026-08-27,25000,250.0,45.0,0.0,24705.0,SETTLED,ORD-577079
SET500223,PAY100223,MER018,2026-08-20,2500,25.0,4.5,0.0,2470.5,SETTLED,ORD-813390
SET500225,PAY100225,MER018,2026-08-09,1200,18.0,3.24,0.0,1178.76,SETTLED,ORD-995993
SET500226,PAY100226,MER015,2026-08-09,750,7.5,1.35,0.0,491.15,SETTLED,ORD-567122
SET500227,PAY100227,MER005,2026-08-16,50000,750.0,135.0,0.0,49115.0,SETTLED,ORD-805448
SET500228,PAY100228,MER001,2026-08-11,2500,25.0,4.5,0.0,2420.5,SETTLED,ORD-176577
SET500229,PAY100229,MER012,2026-08-20,750,11.25,2.02,0.0,736.73,SETTLED,ORD-133276
SET500230,PAY100230,MER014,2026-08-07,100000,1500.0,270.0,0.0,49115.0,SETTLED,ORD-492650
SET500231,PAY100231,MER013,2026-08-05,50000,500.0,90.0,0.0,48410.0,SETTLED,ORD-785280
SET500232,PAY100232,MER006,2026-08-15,2500,25.0,4.5,0.0,2470.5,SETTLED,ORD-892911
SET500233,PAY100233,MER010,2026-08-20,2500,25.0,4.5,0.0,2470.5,SETTLED,ORD-583000
SET500234,PAY100234,MER005,2026-08-09,500,5.0,0.9,0.0,494.1,SETTLED,ORD-539605
SET500235,PAY100235,MER001,2026-08-09,500,7.5,1.35,0.0,491.15,SETTLED,ORD-726822
SET500237,PAY100237,MER010,2026-08-21,100000,1500.0,270.0,0.0,98230.0,SETTLED,ORD-348411
SET500238,PAY100238,MER005,2026-08-10,500,5.0,0.9,0.0,296.46,SETTLED,ORD-720407
SET500239,PAY100239,MER014,2026-08-04,12000,120.0,21.6,0.0,11858.4,SETTLED,ORD-434217
SET500240,PAY100240,MER014,2026-08-12,50000,750.0,135.0,0.0,49115.0,SETTLED,ORD-352673
SET500241,PAY100241,MER010,2026-08-17,12000,120.0,21.6,0.0,11858.4,SETTLED,ORD-655736
SET500242,PAY100242,MER005,2026-08-10,100000,1000.0,180.0,0.0,98820.0,SETTLED,ORD-571635
SET500243,PAY100243,MER003,2026-08-09,100000,1000.0,180.0,0.0,98820.0,SETTLED,ORD-732209
SET500244,PAY100244,MER003,2026-08-21,2500,37.5,6.75,0.0,2455.75,SETTLED,ORD-319036
SET500245,PAY100245,MER010,2026-08-09,25000,250.0,45.0,0.0,24705.0,SETTLED,ORD-829417
SET500246,PAY100246,MER007,2026-08-10,5000,75.0,13.5,0.0,4911.5,SETTLED,ORD-588899
SET500247,PAY100247,MER012,2026-08-11,25000,375.0,67.5,0.0,24557.5,SETTLED,ORD-203398
SET500248,PAY100248,MER011,2026-08-14,75000,750.0,135.0,0.0,73615.0,SETTLED,ORD-877259
SET500249,PAY100249,MER009,2026-08-12,2500,37.5,6.75,0.0,2455.75,SETTLED,ORD-697467
SET500250,PAY100250,MER016,2026-08-11,100000,1000.0,180.0,0.0,98820.0,SETTLED,ORD-614426
SET500251,PAY100251,MER006,2026-08-08,25000,250.0,45.0,0.0,24705.0,SETTLED,ORD-668471
SET500252,PAY100252,MER002,2026-08-04,100000,1000.0,180.0,0.0,98820.0,SETTLED,ORD-901467
SET500253,PAY100253,MER014,2026-08-23,1200,12.0,2.16,0.0,-1314.16,SETTLED,ORD-329344
SET500254,PAY100254,MER012,2026-08-22,75000,1125.0,202.5,0.0,73672.5,SETTLED,ORD791309
SET500255,PAY100255,MER001,2026-08-20,500,5.0,0.9,0.0,247.05,SETTLED,ORD-857273
SET500256,PAY100256,MER010,2026-08-19,12000,120.0,21.6,0.0,11858.4,SETTLED,ORD-212214
SET500257,PAY100257,MER017,2026-08-10,5000,75.0,13.5,0.0,4911.5,SETTLED,ORD-380310
SET500258,PAY100258,MER003,2026-08-15,2500,37.5,6.75,0.0,859.51,SETTLED,ORD-817269
SET500259,PAY100259,MER002,2026-08-15,25000,250.0,45.0,0.0,24705.0,SETTLED,ORD-767678
SET500260,PAY100260,MER006,2026-08-18,8500,85.0,15.3,0.0,8399.7,SETTLED,ORD-999636
SET500261,PAY100261,MER017,2026-08-10,75000,1125.0,202.5,0.0,73672.5,SETTLED,ORD-384263
SET500262,PAY100262,MER003,2026-08-20,1200,18.0,3.24,0.0,1178.76,SETTLED,ORD-116418
SET500263,PAY100263,MER007,2026-08-15,75000,750.0,135.0,0.0,74115.0,SETTLED,ORD-694223
SET500264,PAY100264,MER018,2026-08-15,750,7.5,1.35,0.0,741.15,SETTLED,ORD-881667
