payment_id,status,reason,confidence,state,payment_evidence,settlement_evidence,bank_evidence,match_method,settlement_id,bank_transaction_id,expected_net_amount,recorded_settlement_amount,bank_credit_amount,human_review_required,human_review_reason
PAY100034,MATCHED,"Payment, settlement, and bank records reconcile within configured rules.",0.99,FINAL,AVAILABLE,FOUND,FOUND,PAYMENT_ID,SET500034,BANK900034,24705.0,24705.0,24705.0,False,
PAY100035,MATCHED,"Payment, settlement, and bank records reconcile within configured rules.",0.99,FINAL,AVAILABLE,FOUND,FOUND,PAYMENT_ID,SET500035,BANK900035,49410.0,49410.0,49410.0,False,
PAY100036,MATCHED,"Payment, settlement, and bank records reconcile within configured rules.",0.99,FINAL,AVAILABLE,FOUND,FOUND,PAYMENT_ID,SET500036,BANK900036,2470.5,2470.5,2470.5,False,
PAY100037,EXCEPTION,Duplicate payment record detected.,0.99,FINAL,AVAILABLE,UNKNOWN,UNKNOWN,DUPLICATE_DETECTION,,,,,,False,
PAY200037,EXCEPTION,Duplicate payment record detected.,0.99,FINAL,AVAILABLE,UNKNOWN,UNKNOWN,DUPLICATE_DETECTION,,,,,,False,
PAY100038,MATCHED,"Payment, settlement, and bank records reconcile within configured rules.",0.99,FINAL,AVAILABLE,FOUND,FOUND,PAYMENT_ID,SET500038,BANK900038,11858.4,11858.4,11858.4,False,
PAY100039,MATCHED,"Payment, settlement, and bank records reconcile within configured rules.",0.99,FINAL,AVAILABLE,FOUND,FOUND,PAYMENT_ID,SET500039,BANK900039,741.15,741.15,741.15,False,
PAY100040,MATCHED,"Payment, settlement, and bank records reconcile within configured rules.",0.99,FINAL,AVAILABLE,FOUND,FOUND,PAYMENT_ID,SET500040,BANK900040,24557.5,24557.5,24557.5,False,
PAY100041,EXCEPTION,No corresponding settlement record was found for the payment.,0.98,FINAL,AVAILABLE,NOT_FOUND,UNKNOWN,NO_SETTLEMENT,,,,,,False,
PAY100042,MATCHED,"Payment, settlement, and bank records reconcile within configured rules.",0.99,FINAL,AVAILABLE,FOUND,FOUND,PAYMENT_ID,SET500042,BANK900042,49115.0,49115.0,49115.0,False,
PAY100043,MATCHED,"Payment, settlement, and bank records reconcile within configured rules.",0.99,FINAL,AVAILABLE,FOUND,FOUND,PAYMENT_ID,SET500043,BANK900043,24557.5,24557.5,24557.5,False,
PAY100044,MATCHED,"Payment, settlement, and bank records reconcile within configured rules.",0.99,FINAL,AVAILABLE,FOUND,FOUND,PAYMENT_ID,SET500044,BANK900044,11787.6,11787.6,11787.6,False,
PAY100045,EXCEPTION,Settlement exists but bank credit was not found.,0.95,FINAL,AVAILABLE,FOUND,NOT_FOUND,PAYMENT_ID,SET500045,,741.15,741.15,,False,
PAY100046,MATCHED,"Payment, settlement, and bank records reconcile within configured rules.",0.99,FINAL,AVAILABLE,FOUND,FOUND,PAYMENT_ID,SET500046,BANK900046,2470.5,2470.5,2470.5,False,
PAY100047,MATCHED,"Payment, settlement, and bank records reconcile within configured rules.",0.99,FINAL,AVAILABLE,FOUND,FOUND,PAYMENT_ID,SET500047,BANK900047,74115.0,74115.0,74115.0,False,
PAY100048,EXCEPTION,"Settlement amount mismatch. Expected ₹2470.50, recorded ₹2420.50.",0.9,FINAL,AVAILABLE,FOUND,FOUND,PAYMENT_ID,SET500048,BANK900048,2470.5,2420.5,2420.5,False,
PAY100049,MATCHED,"Payment, settlement, and bank records reconcile within configured rules.",0.99,FINAL,AVAILABLE,FOUND,FOUND,PAYMENT_ID,SET500049,BANK900049,4941.0,4941.0,4941.0,False,
PAY100050,MATCHED,"Payment, settlement, and bank records reconcile within configured rules.",0.99,FINAL,AVAILABLE,FOUND,FOUND,PAYMENT_ID,SET500050,BANK900050,4941.0,4941.0,4941.0,False,
PAY100051,MATCHED,"Payment, settlement, and bank records reconcile within configured rules.",0.99,FINAL,AVAILABLE,FOUND,FOUND,PAYMENT_ID,SET500051,BANK900051,1178.76,1178.76,1178.76,False,
PAY100052,MATCHED,"Payment, settlement, and bank records reconcile within configured rules.",0.99,FINAL,AVAILABLE,FOUND,FOUND,PAYMENT_ID,SET500052,BANK900052,73672.5,73672.5,73672.5,False,
PAY100053,EXCEPTION,"Partial settlement detected. Expected ₹24557.50, received ₹14734.50.",0.98,FINAL,AVAILABLE,FOUND,FOUND,PAYMENT_ID,SET500053,BANK900053,24557.5,14734.5,14734.5,False,
PAY100054,EXCEPTION,"Settlement amount mismatch. Expected ₹2470.50, recorded ₹2420.50.",0.9,FINAL,AVAILABLE,FOUND,FOUND,PAYMENT_ID,SET500054,BANK900054,2470.5,2420.5,2420.5,False,
PAY100055,MATCHED,"Payment, settlement, and bank records reconcile within configured rules.",0.99,FINAL,AVAILABLE,FOUND,FOUND,PAYMENT_ID,SET500055,BANK900055,24557.5,24557.5,24557.5,False,
PAY100056,MATCHED,"Payment, settlement, and bank records reconcile within configured rules.",0.99,FINAL,AVAILABLE,FOUND,FOUND,PAYMENT_ID,SET500056,BANK900056,8349.55,8349.55,8349.55,False,
PAY100057,MATCHED,"Payment, settlement, and bank records reconcile within configured rules.",0.99,FINAL,AVAILABLE,FOUND,FOUND,PAYMENT_ID,SET500057,BANK900057,98230.0,98230.0,98230.0,False,
PAY100058,MATCHED,"Payment, settlement, and bank records reconcile within configured rules.",0.99,FINAL,AVAILABLE,FOUND,FOUND,PAYMENT_ID,SET500058,BANK900058,736.73,736.73,736.73,False,
PAY100059,MATCHED,"Payment, settlement, and bank records reconcile within configured rules.",0.99,FINAL,AVAILABLE,FOUND,FOUND,PAYMENT_ID,SET500059,BANK900059,8399.7,8399.7,8399.7,False,
PAY100060,EXCEPTION,No corresponding settlement record was found for the payment.,0.98,FINAL,AVAILABLE,NOT_FOUND,UNKNOWN,NO_SETTLEMENT,,,,,,False,
PAY100061,MATCHED,"Payment, settlement, and bank records reconcile within configured rules.",0.99,FINAL,AVAILABLE,FOUND,FOUND,PAYMENT_ID,SET500061,BANK900061,1178.76,1178.76,1178.76,False,
PAY100062,EXCEPTION,No corresponding settlement record was found for the payment.,0.98,FINAL,AVAILABLE,NOT_FOUND,UNKNOWN,NO_SETTLEMENT,,,,,,False,
PAY100063,MATCHED,"Payment, settlement, and bank records reconcile within configured rules.",0.99,FINAL,AVAILABLE,FOUND,FOUND,PAYMENT_ID,SET500063,BANK900063,11787.6,11787.6,11787.6,False,
PAY100064,MATCHED,"Payment, settlement, and bank records reconcile within configured rules.",0.99,FINAL,AVAILABLE,FOUND,FOUND,PAYMENT_ID,SET500064,BANK900064,49410.0,49410.0,49410.0,False,
PAY100065,MATCHED,"Payment, settlement, and bank records reconcile within configured rules.",0.99,FINAL,AVAILABLE,FOUND,FOUND,PAYMENT_ID,SET500065,BANK900065,491.15,491.15,491.15,False,
PAY100066,MATCHED,"Payment, settlement, and bank records reconcile within configured rules.",0.99,FINAL,AVAILABLE,FOUND,FOUND,PAYMENT_ID,SET500066,BANK900066,8349.55,8349.55,8349.55,False,
PAY100067,EXCEPTION,"Settlement amount mismatch. Expected ₹2470.50, recorded ₹2370.50.",0.9,FINAL,AVAILABLE,FOUND,FOUND,PAYMENT_ID,SET500067,BANK900067,2470.5,2370.5,2370.5,False,
PAY100068,MATCHED,"Payment, settlement, and bank records reconcile within configured rules.",0.99,FINAL,AVAILABLE,FOUND,FOUND,PAYMENT_ID,SET500068,BANK900068,11787.6,11787.6,11787.6,False,
PAY100069,EXCEPTION,No corresponding settlement record was found for the payment.,0.98,FINAL,AVAILABLE,NOT_FOUND,UNKNOWN,NO_SETTLEMENT,,,,,,False,
PAY100070,EXCEPTION,"Partial settlement detected. Expected ₹11858.40, received ₹4150.44.",0.98,FINAL,AVAILABLE,FOUND,FOUND,PAYMENT_ID,SET500070,BANK900070,11858.4,4150.44,4150.44,False,
PAY100071,MATCHED,"Payment, settlement, and bank records reconcile within configured rules.",0.99,FINAL,AVAILABLE,FOUND,FOUND,PAYMENT_ID,SET500071,BANK900071,736.73,736.73,736.73,False,
PAY100072,EXCEPTION,Settlement occurred outside the configured settlement window.,0.97,FINAL,AVAILABLE,FOUND,FOUND,PAYMENT_ID,SET500072,BANK900072,24705.0,24705.0,24705.0,False,
PAY100073,MATCHED,"Payment, settlement, and bank records reconcile within configured rules.",0.99,FINAL,AVAILABLE,FOUND,FOUND,PAYMENT_ID,SET500073,BANK900073,98820.0,98820.0,98820.0,False,
PAY100074,EXCEPTION,"Settlement amount mismatch. Expected ₹491.15, recorded ₹341.15.",0.9,FINAL,AVAILABLE,FOUND,FOUND,PAYMENT_ID,SET500074,BANK900074,491.15,341.15,341.15,False,
PAY100075,EXCEPTION,Settlement exists but bank credit was not found.,0.95,FINAL,AVAILABLE,FOUND,NOT_FOUND,PAYMENT_ID,SET500075,,1185.84,1185.84,,False,
PAY100076,EXCEPTION,Settlement exists but bank credit was not found.,0.95,FINAL,AVAILABLE,FOUND,NOT_FOUND,PAYMENT_ID,SET500076,,74115.0,74115.0,,False,
PAY100077,MATCHED,"Payment, settlement, and bank records reconcile within configured rules.",0.99,FINAL,AVAILABLE,FOUND,FOUND,PAYMENT_ID,SET500077,BANK900077,24557.5,24557.5,24557.5,False,
PAY100078,EXCEPTION,"Settlement amount mismatch. Expected ₹98230.00, recorded ₹98080.00.",0.9,FINAL,AVAILABLE,FOUND,FOUND,PAYMENT_ID,SET500078,BANK900078,98230.0,98080.0,98080.0,False,
PAY100079,MATCHED,"Payment, settlement, and bank records reconcile within configured rules.",0.99,FINAL,AVAILABLE,FOUND,FOUND,PAYMENT_ID,SET500079,BANK900079,2455.75,2455.75,2455.75,False,
PAY100080,MATCHED,"Payment, settlement, and bank records reconcile within configured rules.",0.99,FINAL,AVAILABLE,FOUND,FOUND,PAYMENT_ID,SET500080,BANK900080,11787.6,11787.6,11787.6,False,
PAY100081,MATCHED,"Payment, settlement, and bank records reconcile within configured rules.",0.99,FINAL,AVAILABLE,FOUND,FOUND,PAYMENT_ID,SET500081,BANK900081,73672.5,73672.5,73672.5,False,
PAY100082,MATCHED,"Payment, settlement, and bank records reconcile within configured rules.",0.99,FINAL,AVAILABLE,FOUND,FOUND,PAYMENT_ID,SET500082,BANK900082,98820.0,98820.0,98820.0,False,
PAY100083,EXCEPTION,"Settlement amount mismatch. Expected ₹736.73, recorded ₹442.04.",0.9,FINAL,AVAILABLE,FOUND,FOUND,PAYMENT_ID,SET500083,BANK900083,736.73,442.04,442.04,False,
PAY100084,MATCHED,"Payment, settlement, and bank records reconcile within configured rules.",0.99,FINAL,AVAILABLE,FOUND,FOUND,PAYMENT_ID,SET500084,BANK900084,8399.7,8399.7,8399.7,False,
PAY100085,EXCEPTION,Settlement exists but bank credit was not found.,0.95,FINAL,AVAILABLE,FOUND,NOT_FOUND,PAYMENT_ID,SET500085,,8399.7,8399.7,,False,
PAY100086,EXCEPTION,Duplicate payment record detected.,0.99,FINAL,AVAILABLE,UNKNOWN,UNKNOWN,DUPLICATE_DETECTION,,,,,,False,
PAY200086,EXCEPTION,Duplicate payment record detected.,0.99,FINAL,AVAILABLE,UNKNOWN,UNKNOWN,DUPLICATE_DETECTION,,,,,,False,
PAY100087,EXCEPTION,No corresponding settlement record was found for the payment.,0.98,FINAL,AVAILABLE,NOT_FOUND,UNKNOWN,NO_SETTLEMENT,,,,,,False,
PAY100088,MATCHED,"Payment, settlement, and bank records reconcile within configured rules.",0.99,FINAL,AVAILABLE,FOUND,FOUND,PAYMENT_ID,SET500088,BANK900088,2455.75,2455.75,2455.75,False,
PAY100089,EXCEPTION,Duplicate payment record detected.,0.99,FINAL,AVAILABLE,UNKNOWN,UNKNOWN,DUPLICATE_DETECTION,,,,,,False,
PAY200089,EXCEPTION,Duplicate payment record detected.,0.99,FINAL,AVAILABLE,UNKNOWN,UNKNOWN,DUPLICATE_DETECTION,,,,,,False,
PAY100090,MATCHED,"Payment, settlement, and bank records reconcile within configured rules.",0.99,FINAL,AVAILABLE,FOUND,FOUND,PAYMENT_ID,SET500090,BANK900090,24705.0,24705.0,24705.0,False,
PAY100091,MATCHED,"Payment, settlement, and bank records reconcile within configured rules.",0.99,FINAL,AVAILABLE,FOUND,FOUND,PAYMENT_ID,SET500091,BANK900091,49115.0,49115.0,49115.0,False,
PAY100092,MATCHED,"Payment, settlement, and bank records reconcile within configured rules.",0.99,FINAL,AVAILABLE,FOUND,FOUND,PAYMENT_ID,SET500092,BANK900092,494.1,494.1,494.1,False,
PAY100093,MATCHED,"Payment, settlement, and bank records reconcile within configured rules.",0.99,FINAL,AVAILABLE,FOUND,FOUND,PAYMENT_ID,SET500093,BANK900093,98230.0,98230.0,98230.0,False,
PAY100094,MATCHED,"Payment, settlement, and bank records reconcile within configured rules.",0.99,FINAL,AVAILABLE,FOUND,FOUND,PAYMENT_ID,SET500094,BANK900094,24705.0,24705.0,24705.0,False,
PAY100095,MATCHED,"Payment, settlement, and bank records reconcile within configured rules.",0.99,FINAL,AVAILABLE,FOUND,FOUND,PAYMENT_ID,SET500095,BANK900095,1185.84,1185.84,1185.84,False,
PAY100096,MATCHED,"Payment, settlement, and bank records reconcile within configured rules.",0.99,FINAL,AVAILABLE,FOUND,FOUND,PAYMENT_ID,SET500096,BANK900096,2455.75,2455.75,2455.75,False,
PAY100097,MATCHED,"Payment, settlement, and bank records reconcile within configured rules.",0.99,FINAL,AVAILABLE,FOUND,FOUND,PAYMENT_ID,SET500097,BANK900097,49115.0,49115.0,49115.0,False,
PAY100098,EXCEPTION,Duplicate payment record detected.,0.99,FINAL,AVAILABLE,UNKNOWN,UNKNOWN,DUPLICATE_DETECTION,,,,,,False,
PAY200098,EXCEPTION,Duplicate payment record detected.,0.99,FINAL,AVAILABLE,UNKNOWN,UNKNOWN,DUPLICATE_DETECTION,,,,,,False,
PAY100099,EXCEPTION,Settlement exists but bank credit was not found.,0.95,FINAL,AVAILABLE,FOUND,NOT_FOUND,PAYMENT_ID,SET500099,,49410.0,49410.0,,False,
PAY100100,MATCHED,"Payment, settlement, and bank records reconcile within configured rules.",0.99,FINAL,AVAILABLE,FOUND,FOUND,PAYMENT_ID,SET500100,BANK900100,74115.0,74115.0,74115.0,False,
PAY100101,MATCHED,"Payment, settlement, and bank records reconcile within configured rules.",0.99,FINAL,AVAILABLE,FOUND,FOUND,PAYMENT_ID,SET500101,BANK900101,494.1,494.1,494.1,False,
PAY100102,EXCEPTION,No corresponding settlement record was found for the payment.,0.98,FINAL,AVAILABLE,NOT_FOUND,UNKNOWN,NO_SETTLEMENT,,,,,,False,
PAY100103,MATCHED,"Payment, settlement, and bank records reconcile within configured rules.",0.99,FINAL,AVAILABLE,FOUND,FOUND,PAYMENT_ID,SET500103,BANK900103,74115.0,74115.0,74115.0,False,
PAY100104,EXCEPTION,No corresponding settlement record was found for the payment.,0.98,FINAL,AVAILABLE,NOT_FOUND,UNKNOWN,NO_SETTLEMENT,,,,,,False,
PAY100105,MATCHED,"Payment, settlement, and bank records reconcile within configured rules.",0.99,FINAL,AVAILABLE,FOUND,FOUND,PAYMENT_ID,SET500105,BANK900105,11787.6,11787.6,11787.6,False,
PAY100106,EXCEPTION,"Settlement amount mismatch. Expected ₹98230.00, recorded ₹98130.00.",0.9,FINAL,AVAILABLE,FOUND,FOUND,PAYMENT_ID,SET500106,BANK900106,98230.0,98130.0,98130.0,False,
PAY100107,MATCHED,"Payment, settlement, and bank records reconcile within configured rules.",0.99,FINAL,AVAILABLE,FOUND,FOUND,PAYMENT_ID,SET500107,BANK900107,8399.7,8399.7,8399.7,False,
PAY100108,EXCEPTION,Settlement exists but bank credit was not found.,0.95,FINAL,AVAILABLE,FOUND,NOT_FOUND,PAYMENT_ID,SET500108,,98230.0,98230.0,,False,
PAY100109,MATCHED,"Payment, settlement, and bank records reconcile within configured rules.",0.99,FINAL,AVAILABLE,FOUND,FOUND,PAYMENT_ID,SET500109,BANK900109,74115.0,74115.0,74115.0,False,
PAY100110,EXCEPTION,"Settlement amount mismatch. Expected ₹8399.70, recorded ₹8249.70.",0.9,FINAL,AVAILABLE,FOUND,FOUND,PAYMENT_ID,SET500110,BANK900110,8399.7,8249.7,8249.7,False,
PAY100111,MATCHED,"Payment, settlement, and bank records reconcile within configured rules.",0.99,FINAL,AVAILABLE,FOUND,FOUND,PAYMENT_ID,SET500111,BANK900111,74115.0,74115.0,74115.0,False,
PAY100112,EXCEPTION,Settlement exists but bank credit was not found.,0.95,FINAL,AVAILABLE,FOUND,NOT_FOUND,PAYMENT_ID,SET500112,,4911.5,4911.5,,False,
PAY100113,MATCHED,"Payment, settlement, and bank records reconcile within configured rules.",0.99,FINAL,AVAILABLE,FOUND,FOUND,PAYMENT_ID,SET500113,BANK900113,741.15,741.15,741.15,False,
PAY100114,MATCHED,"Payment, settlement, and bank records reconcile within configured rules.",0.99,FINAL,AVAILABLE,FOUND,FOUND,PAYMENT_ID,SET500114,BANK900114,24557.5,24557.5,24557.5,False,
PAY100115,EXCEPTION,No corresponding settlement record was found for the payment.,0.98,FINAL,AVAILABLE,NOT_FOUND,UNKNOWN,NO_SETTLEMENT,,,,,,False,
PAY100116,EXCEPTION,"Settlement amount mismatch. Expected ₹24705.00, recorded ₹23205.00.",0.9,FINAL,AVAILABLE,FOUND,FOUND,PAYMENT_ID,SET500116,BANK900116,24705.0,23205.0,23205.0,False,
PAY100117,EXCEPTION,Duplicate payment record detected.,0.99,FINAL,AVAILABLE,UNKNOWN,UNKNOWN,DUPLICATE_DETECTION,,,,,,False,
PAY200117,EXCEPTION,Duplicate payment record detected.,0.99,FINAL,AVAILABLE,UNKNOWN,UNKNOWN,DUPLICATE_DETECTION,,,,,,False,
PAY100118,MATCHED,"Payment, settlement, and bank records reconcile within configured rules.",0.99,FINAL,AVAILABLE,FOUND,FOUND,PAYMENT_ID,SET500118,BANK900118,74115.0,74115.0,74115.0,False,
PAY100119,MATCHED,"Payment, settlement, and bank records reconcile within configured rules.",0.99,FINAL,AVAILABLE,FOUND,FOUND,PAYMENT_ID,SET500119,BANK900119,8399.7,8399.7,8399.7,False,
PAY100120,MATCHED,"Payment, settlement, and bank records reconcile within configured rules.",0.99,FINAL,AVAILABLE,FOUND,FOUND,PAYMENT_ID,SET500120,BANK900120,2470.5,2470.5,2470.5,False,
PAY100121,MATCHED,"Payment, settlement, and bank records reconcile within configured rules.",0.99,FINAL,AVAILABLE,FOUND,FOUND,PAYMENT_ID,SET500121,BANK900121,11858.4,11858.4,11858.4,False,
PAY100122,MATCHED,"Payment, settlement, and bank records reconcile within configured rules.",0.99,FINAL,AVAILABLE,FOUND,FOUND,PAYMENT_ID,SET500122,BANK900122,11787.6,11787.6,11787.6,False,
PAY100123,EXCEPTION,"Settlement amount mismatch. Expected ₹8399.70, recorded ₹8149.70.",0.9,FINAL,AVAILABLE,FOUND,FOUND,PAYMENT_ID,SET500123,BANK900123,8399.7,8149.7,8149.7,False,
PAY100124,MATCHED,"Payment, settlement, and bank records reconcile within configured rules.",0.99,FINAL,AVAILABLE,FOUND,FOUND,PAYMENT_ID,SET500124,BANK900124,4941.0,4941.0,4941.0,False,
PAY100125,MATCHED,"Payment, settlement, and bank records reconcile within configured rules.",0.99,FINAL,AVAILABLE,FOUND,FOUND,PAYMENT_ID,SET500125,BANK900125,49410.0,49410.0,49410.0,False,
PAY100126,EXCEPTION,Settlement exists but bank credit was not found.,0.95,FINAL,AVAILABLE,FOUND,NOT_FOUND,PAYMENT_ID,SET500126,,2470.5,2470.5,,False,
PAY100127,MATCHED,"Payment, settlement, and bank records reconcile within configured rules.",0.99,FINAL,AVAILABLE,FOUND,FOUND,PAYMENT_ID,SET500127,BANK900127,24705.0,24705.0,24705.0,False,
PAY100128,MATCHED,"Payment, settlement, and bank records reconcile within configured rules.",0.99,FINAL,AVAILABLE,FOUND,FOUND,PAYMENT_ID,SET500128,BANK900128,736.73,736.73,736.73,False,
PAY100129,MATCHED,"Payment, settlement, and bank records reconcile within configured rules.",0.99,FINAL,AVAILABLE,FOUND,FOUND,PAYMENT_ID,SET500129,BANK900129,736.73,736.73,736.73,False,
PAY100130,EXCEPTION,"Settlement amount mismatch. Expected ₹98820.00, recorded ₹98570.00.",0.9,FINAL,AVAILABLE,FOUND,FOUND,PAYMENT_ID,SET500130,BANK900130,98820.0,98570.0,98570.0,False,
PAY100131,EXCEPTION,"Settlement amount mismatch. Expected ₹2455.75, recorded ₹2205.75.",0.9,FINAL,AVAILABLE,FOUND,FOUND,PAYMENT_ID,SET500131,BANK900131,2455.75,2205.75,2205.75,False,
PAY100132,MATCHED,"Payment, settlement, and bank records reconcile within configured rules.",0.99,FINAL,AVAILABLE,FOUND,FOUND,PAYMENT_ID,SET500132,BANK900132,8399.7,8399.7,8399.7,False,
